star,"C,S,Score Values"
10093,0.0
10094,-15.0
10097,24.5
10098,-6.0
10099,-4.0
10101,4.0
10102,0.5
10105,3.0
10107,59.5
10112,2.5
10113,59.5
10114,10.0
10115,-15.0
10119,12.0
10120,0.0
10122,0.5
10125,-3.5
10126,0.0
10127,0.0
10130,7.0
10131,-13.5
10135,-15.0
10138,0.0
10140,0.5
10143,1.0
10147,-0.5
10148,5.0
10149,4.0
10151,0.0
10154,59.5
10155,-14.0
10161,3.0
10162,8.5
10165,0.0
10168,3.0
10173,1.5
10174,0.5
10176,-6.0
10178,-13.0
10183,59.5
10184,2.0
10186,2.5
10188,21.5
10190,-2.0
10191,2.5
10192,4.0
10193,6.5
10197,-8.5
10198,-13.5
10199,7.0
10201,-12.0
10202,2.0
10204,3.5
10206,7.5
10209,23.5
10210,1.0
10211,0.0
10213,6.0
10214,49.0
10215,1.5
10216,4.0
10217,-15.0
10218,-6.5
10219,42.0
10221,1.5
10223,-9.5
10224,3.5
10226,1.0
10227,2.0
10228,-15.0
10236,-9.0
10237,-15.0
10238,0.0
10239,-15.0
10240,1.0
10251,2.5
10252,11.0
10253,3.0
10254,-2.0
10255,-5.0
10256,1.0
10263,0.0
10264,8.5
10265,7.5
10266,0.0
10267,59.5
10272,-15.0
10274,12.0
10276,2.5
10279,0.0
10280,3.5
10281,2.0
10282,0.0
10284,1.0
10290,-5.5
10292,7.5
10296,14.5
10297,0.5
10301,-7.0
10304,5.0
10308,-6.5
10309,5.5
10312,3.5
10313,2.5
10314,5.5
10317,5.0
10318,0.0
10320,1.5
10326,10.5
10332,0.0
10333,0.0
10336,1.0
10338,-15.0
10339,-15.0
10341,0.5
10342,4.5
10348,7.5
10352,4.5
10361,5.5
10363,0.5
10371,3.5
10374,0.5
10375,7.5
10380,2.0
10385,0.5
10387,-8.5
10388,2.0
10398,0.5
10401,6.5
10406,5.5
10417,0.5
10421,5.5
10424,29.0
10427,4.0
10432,0.5
10448,-0.5
10462,-1.5
10472,5.5
10504,16.5
10518,1.0
10528,-5.0
10530,-3.0
10534,-6.0
10553,-9.5
10558,2.5
10568,59.5
10570,10.0
10574,8.0
10580,3.5
10583,48.5
10589,59.5
10590,3.0
10597,-4.0
10602,-8.5
10609,-0.5
10617,-6.5
10621,15.0
10625,-3.0
10626,4.5
10630,0.0
10635,0.5
10637,15.0
10642,13.0
10644,5.5
10648,1.5
10649,-12.5
10650,2.5
10656,0.0
10661,4.0
10671,6.0
10672,4.5
10673,5.0
10676,-6.5
10678,-13.5
10680,0.5
10681,1.5
10684,2.0
10685,0.0
10689,2.0
10690,10.5
10695,1.5
10698,2.0
10699,-0.5
10718,-15.0
10719,-12.5
10720,3.5
10721,-7.5
10722,5.0
10724,9.5
10731,7.0
10732,3.5
10733,3.0
10734,20.5
10737,10.0
10747,0.5
10753,2.0
10755,5.0
10764,6.5
10767,0.5
10771,-8.5
10777,36.0
10782,0.5
10783,-7.5
10788,2.5
10795,9.0
10797,-11.0
10802,59.5
10805,4.5
10806,2.0
10810,2.0
10811,0.5
10819,-0.5
10822,13.5
10823,1.0
10828,5.5
10833,2.5
10834,2.5
10839,0.5
10842,2.0
10845,0.0
10852,1.5
10853,-2.0
10858,-0.5
10861,8.5
10863,5.0
10870,0.0
10872,0.0
10874,5.0
10878,-15.0
10884,0.5
10886,6.0
10890,0.0
10891,0.0
10897,3.5
10902,-15.0
10903,-12.5
10907,2.0
10908,7.5
10909,-0.5
10910,-5.0
10912,-15.0
10916,6.0
10925,59.5
10928,0.0
10930,-0.5
10931,0.5
10933,1.0
10934,6.5
10936,1.5
10938,18.5
10939,12.5
10940,0.0
10941,-0.5
10943,4.0
10955,3.5
10957,59.5
10959,-15.0
10960,2.0
10961,0.0
10964,11.0
10967,7.5
10972,15.5
10975,1.5
10977,59.5
10985,5.0
10991,0.5
10999,0.5
11005,5.5
11007,1.5
11013,1.0
11024,-4.5
11026,-6.5
11034,-4.5
11035,1.5
11036,1.5
11038,1.5
11041,-0.5
11042,0.5
11047,0.0
11048,-10.0
11051,0.5
11052,0.5
11056,4.0
11062,2.0
11064,1.0
11065,2.5
11066,-12.5
11068,57.5
11072,1.0
11075,17.5
11078,0.5
11080,0.0
11089,3.0
11090,0.0
11092,0.5
11093,18.5
11097,2.0
11100,2.0
11101,3.0
11106,1.0
11114,3.5
11119,-0.5
11121,2.5
11123,0.0
11124,0.0
11125,0.0
11129,0.0
11130,0.0
11131,2.0
11132,3.5
11133,20.5
11134,2.0
11136,0.5
11139,0.5
11140,-5.0
11141,0.0
11144,-6.0
11147,0.5
11148,59.5
11150,2.0
11152,-6.5
11153,1.5
