star,"C,S,Score Values"
10191,32.0
10406,17.0
10472,44.5
10649,59.5
10671,15.0
10678,59.5
11658,59.5
11665,59.5
13535,18.0
13545,13.0
13552,46.5
13648,38.5
14168,59.5
14188,59.5
14201,59.5
14202,59.5
14215,59.5
14218,59.5
14596,59.5
14808,59.5
19749,43.5
19754,57.5
19772,59.5
19773,59.5
19777,26.5
19779,59.5
19782,59.5
19786,59.5
19788,59.5
19789,59.5
19792,59.5
19793,59.5
19801,59.5
19805,59.5
19806,59.5
19811,38.0
19813,23.5
19815,59.0
19816,22.0
19819,11.5
19820,59.5
19821,39.0
19834,59.5
19836,18.0
19837,6.0
19839,59.5
19840,59.5
19845,16.5
19850,36.0
19853,59.5
19856,59.5
19858,14.0
19861,59.5
19866,59.5
19870,59.5
19875,19.0
19882,7.0
19883,59.5
19898,41.5
19899,20.5
19902,6.0
19906,59.5
19911,59.5
19914,59.5
19921,6.0
19924,41.5
19926,34.0
19927,59.5
19929,18.0
19932,59.5
19936,59.5
19940,33.0
19947,-15.0
19949,51.0
19973,59.5
19976,11.5
19986,59.5
19988,8.5
19990,59.5
20000,59.5
20006,59.5
20010,59.5
20016,51.0
20017,59.5
20024,56.0
20026,59.5
20030,59.5
20031,59.5
20042,49.0
20043,55.5
20045,58.0
20047,59.5
20048,59.5
20053,22.0
20055,14.5
20061,59.5
20064,39.0
20066,59.5
20071,25.0
20072,59.5
20075,59.5
20087,59.5
20090,59.5
20093,59.5
20095,47.5
20096,59.5
20099,59.5
20104,11.5
20106,59.5
20109,58.0
20116,59.5
20124,59.5
20126,11.0
20130,18.5
20141,59.5
20144,59.5
20146,59.5
20147,59.5
20149,27.0
20154,59.5
20158,59.5
20165,15.0
20169,59.5
20175,59.5
20176,19.0
20177,59.5
20178,38.0
20179,22.0
20180,59.5
20182,59.5
20187,59.5
20189,59.5
20190,59.5
20199,59.5
20211,59.5
20215,17.5
20243,59.5
20256,16.5
20257,59.5
20258,6.5
20259,12.0
20262,59.5
20263,59.5
20269,59.5
20270,59.5
20273,27.5
20276,59.5
20283,59.5
20285,21.5
20287,55.0
20288,23.5
20293,59.5
20294,59.5
20296,0.5
20301,59.5
20303,23.0
20307,59.5
20313,59.5
20327,45.5
20334,12.5
20341,17.5
20347,48.0
20349,59.5
20351,51.5
20353,-15.0
20358,25.5
20384,59.5
20388,59.0
20395,9.0
20404,-15.0
20407,59.5
20424,59.5
20425,59.5
20426,59.5
20427,59.5
20507,-15.0
20546,59.5
20596,59.5
20622,59.5
20684,59.5
20755,59.5
20759,59.5
20761,42.5
20765,59.5
20777,59.5
20779,59.5
20788,59.5
20789,19.5
20793,59.5
20796,31.5
20797,59.5
20800,38.0
20801,26.0
20806,53.0
20814,59.5
20815,59.5
20820,59.5
20826,59.5
20831,14.0
20834,59.5
20840,40.5
20841,47.0
20846,51.0
20847,59.5
20860,13.5
20865,59.5
20869,59.5
20872,19.0
20873,59.5
20875,37.5
20882,59.5
20893,10.0
20899,23.5
20902,23.0
20906,15.5
20908,59.5
20910,59.5
20913,59.5
20915,45.0
20925,59.5
20927,59.5
20932,59.5
20936,59.5
20943,59.5
20945,59.5
20946,59.5
20950,35.0
20956,59.5
20962,59.5
20972,43.5
20975,31.0
20983,55.5
20985,59.5
20987,59.5
20989,41.0
21005,59.5
21012,59.5
21033,59.5
21048,57.5
21056,59.5
21059,59.5
21065,31.0
21067,59.5
21072,59.5
21080,59.5
21081,59.5
21084,59.5
21096,57.5
21097,59.5
21102,49.5
21103,59.5
21104,59.5
21122,59.5
21127,27.5
21128,48.5
21131,49.5
21143,12.0
21144,59.5
21146,59.5
21153,59.5
21154,59.5
21155,59.5
21160,56.0
21163,59.5
21165,59.5
21166,29.0
21172,59.5
21177,46.5
21194,-15.0
21195,49.0
21199,46.5
21200,59.5
21201,26.5
21204,59.5
21206,59.5
21209,28.0
21213,39.5
21214,-15.0
21223,43.0
21224,36.5
21227,17.5
21228,17.5
21229,59.5
21233,59.5
21243,59.5
21256,59.5
21260,59.5
21281,7.0
21284,59.5
21287,34.5
21293,10.5
21297,59.5
21301,59.5
21302,59.5
21306,59.5
21314,59.5
21316,26.5
21317,59.5
21321,15.5
21322,59.5
21337,59.5
21339,54.0
21347,56.0
21349,59.5
21355,59.5
21356,59.5
21366,53.0
21367,59.5
21371,59.5
21373,59.5
21397,59.5
21400,57.0
21404,59.5
21407,59.5
21409,59.5
21410,59.5
21421,59.5
21424,59.5
21426,43.5
21444,59.5
21445,8.0
21453,59.5
21457,41.5
21458,57.5
21460,59.5
21463,59.5
21470,59.5
21478,13.0
21495,15.0
21496,6.0
21499,59.5
21515,59.5
21516,54.0
21524,59.5
21529,15.0
21536,45.0
21538,59.5
21539,59.5
21547,19.5
21548,59.5
21561,36.5
21567,59.5
21573,59.5
21575,20.5
21593,27.0
21596,59.5
21599,59.5
21614,57.5
21615,59.5
21619,57.5
21626,59.5
21629,52.0
21630,59.5
21637,59.0
21647,58.0
21657,55.0
21669,42.5
21670,59.5
21673,59.5
21680,59.5
21693,59.5
21698,59.5
21700,9.5
21703,19.5
21718,59.5
21722,-15.0
21727,59.5
21739,59.5
21742,59.5
21749,59.5
21756,3.5
21768,59.5
21769,59.5
21772,59.5
21778,59.5
21779,34.5
21780,59.5
21786,59.5
21814,59.5
21824,59.5
21834,35.0
21835,59.5
21839,59.5
21841,59.5
21844,59.5
21846,59.5
21851,59.5
21855,57.5
21857,46.0
21860,59.5
21861,27.5
21863,54.5
21868,59.5
21869,47.5
21875,28.5
21877,17.5
21898,59.5
21899,59.5
21900,59.5
21909,59.5
21917,40.5
21918,16.0
21919,25.0
21938,9.0
21950,59.5
21964,49.0
21965,59.5
22006,14.0
22012,59.5
22022,59.5
22023,57.0
22038,59.0
22043,59.5
22053,59.5
22056,34.5
22057,27.5
22058,11.5
22064,8.5
22078,59.5
22080,25.5
22109,43.0
22125,49.5
22130,8.5
22134,5.5
22138,59.5
22145,45.5
22146,-15.0
22149,59.5
22155,59.5
22162,59.5
22172,12.0
22174,59.5
22179,59.5
22186,20.5
22190,59.5
22195,59.5
22205,9.0
22215,25.5
22217,59.5
22231,11.0
22238,59.5
22239,32.5
22257,17.0
22258,59.5
22262,16.5
22265,59.5
22281,59.5
22285,31.5
22290,23.0
22295,59.5
22301,59.5
22305,49.0
22320,40.0
22325,59.5
22331,-15.0
22333,59.5
22340,59.5
22342,31.0
22352,59.5
22354,55.5
22355,5.5
22365,59.5
22381,59.5
22384,44.0
22386,59.5
22387,59.5
