star,"C,S,Score Values"
10191,54.5
10406,-14.0
10472,59.5
10649,-14.0
10671,-15.0
10678,-15.0
11658,-15.0
11665,59.5
13535,12.5
13545,-8.5
13552,-15.0
13648,43.5
14168,-15.0
14188,51.5
14201,59.5
14202,59.5
14215,59.5
14218,59.5
14596,59.5
14808,59.5
19749,-15.0
19754,59.5
19772,59.5
19773,-14.5
19777,59.5
19779,-15.0
19782,59.5
19786,59.5
19788,-15.0
19789,59.5
19792,59.5
19793,59.5
19801,59.5
19805,-15.0
19806,59.5
19811,-15.0
19813,59.5
19815,59.5
19816,38.0
19819,24.0
19820,59.5
19821,-12.5
19834,-9.5
19836,59.5
19837,-10.0
19839,59.5
19840,-15.0
19845,-15.0
19850,-15.0
19853,-13.5
19856,-15.0
19858,-12.0
19861,59.5
19866,-15.0
19870,59.5
19875,51.5
19882,-7.5
19883,59.5
19898,-15.0
19899,59.5
19902,-8.5
19906,59.5
19911,-13.0
19914,59.5
19921,-10.0
19924,-12.0
19926,59.5
19927,-13.0
19929,59.5
19932,-11.0
19936,-15.0
19940,59.5
19947,-15.0
19949,59.5
19973,59.5
19976,-10.5
19986,-11.0
19988,-12.5
19990,59.5
20000,-11.0
20006,59.5
20010,59.5
20016,-12.5
20017,-15.0
20024,59.5
20026,59.5
20030,59.5
20031,59.5
20042,59.5
20043,59.5
20045,59.5
20047,59.5
20048,59.5
20053,46.5
20055,-15.0
20061,59.5
20064,59.5
20066,-15.0
20071,59.5
20072,59.5
20075,59.5
20087,12.5
20090,59.5
20093,59.5
20095,59.5
20096,-13.5
20099,-15.0
20104,-12.5
20106,-15.0
20109,-12.0
20116,59.5
20124,-15.0
20126,59.5
20130,59.5
20141,59.5
20144,-15.0
20146,-13.5
20147,59.5
20149,59.5
20154,59.5
20158,59.5
20165,-13.0
20169,59.5
20175,59.5
20176,-13.5
20177,59.5
20178,59.5
20179,59.5
20180,59.5
20182,23.5
20187,59.5
20189,-15.0
20190,59.5
20199,59.5
20211,59.5
20215,45.5
20243,59.5
20256,24.0
20257,59.5
20258,-8.5
20259,27.5
20262,59.5
20263,9.5
20269,59.5
20270,-10.0
20273,59.5
20276,59.5
20283,59.5
20285,-14.5
20287,59.5
20288,-9.0
20293,59.5
20294,59.5
20296,-6.0
20301,59.5
20303,59.5
20307,59.5
20313,59.5
20327,-15.0
20334,11.0
20341,37.5
20347,-15.0
20349,59.5
20351,59.5
20353,59.5
20358,-10.0
20384,58.0
20388,-15.0
20395,-11.5
20404,59.5
20407,-15.0
20424,59.5
20425,-12.5
20426,59.5
20427,59.5
20507,59.5
20546,-15.0
20596,59.5
20622,59.5
20684,26.5
20755,59.5
20759,59.5
20761,59.5
20765,59.5
20777,59.5
20779,59.5
20788,-15.0
20789,59.5
20793,59.5
20796,59.5
20797,-15.0
20800,59.5
20801,-14.5
20806,59.5
20814,59.5
20815,59.5
20820,59.5
20826,-11.0
20831,-10.5
20834,-12.5
20840,59.5
20841,59.5
20846,59.5
20847,-15.0
20860,-11.0
20865,-15.0
20869,-14.5
20872,-12.0
20873,59.5
20875,59.5
20882,-12.0
20893,-10.0
20899,-15.0
20902,-11.5
20906,59.5
20908,59.5
20910,59.5
20913,-12.0
20915,-15.0
20925,59.5
20927,59.5
20932,-14.5
20936,-15.0
20943,-15.0
20945,59.5
20946,-15.0
20950,59.5
20956,-15.0
20962,-14.5
20972,59.5
20975,-15.0
20983,59.5
20985,57.5
20987,59.5
20989,59.5
21005,59.5
21012,59.5
21033,-15.0
21048,59.5
21056,59.5
21059,59.5
21065,59.5
21067,59.5
21072,59.5
21080,59.5
21081,59.5
21084,59.5
21096,59.5
21097,59.5
21102,59.5
21103,59.5
21104,59.5
21122,59.5
21127,21.5
21128,59.5
21131,59.5
21143,59.5
21144,59.5
21146,59.5
21153,59.5
21154,59.5
21155,59.5
21160,59.5
21163,59.5
21165,59.5
21166,59.5
21172,59.5
21177,59.5
21194,-15.0
21195,59.5
21199,59.5
21200,59.5
21201,9.5
21204,-13.5
21206,-15.0
21209,-14.0
21213,-11.0
21214,-8.0
21223,59.5
21224,-9.5
21227,15.5
21228,-12.5
21229,59.5
21233,59.5
21243,14.5
21256,59.5
21260,59.5
21281,-9.0
21284,59.5
21287,59.5
21293,12.0
21297,59.5
21301,59.5
21302,59.5
21306,59.5
21314,59.5
21316,-15.0
21317,59.5
21321,57.5
21322,59.5
21337,-15.0
21339,59.5
21347,59.5
21349,59.5
21355,59.5
21356,59.5
21366,59.5
21367,59.5
21371,59.5
21373,59.5
21397,59.5
21400,59.5
21404,59.5
21407,-15.0
21409,-15.0
21410,59.5
21421,59.5
21424,59.5
21426,59.5
21444,59.5
21445,-7.0
21453,48.0
21457,-15.0
21458,59.5
21460,59.5
21463,-15.0
21470,59.5
21478,-11.5
21495,29.5
21496,-7.0
21499,59.5
21515,-15.0
21516,58.0
21524,-15.0
21529,40.5
21536,-15.0
21538,59.5
21539,59.5
21547,59.5
21548,59.5
21561,-10.5
21567,59.5
21573,59.5
21575,-12.5
21593,59.5
21596,59.5
21599,59.5
21614,59.5
21615,59.5
21619,59.5
21626,-14.5
21629,-15.0
21630,59.5
21637,59.5
21647,-12.5
21657,59.5
21669,59.5
21670,-15.0
21673,59.5
21680,59.5
21693,59.5
21698,59.5
21700,-14.0
21703,15.0
21718,59.5
21722,-15.0
21727,59.5
21739,59.5
21742,59.5
21749,59.5
21756,-8.5
21768,-15.0
21769,59.5
21772,59.5
21778,59.5
21779,-15.0
21780,-10.5
21786,-15.0
21814,-14.0
21824,59.5
21834,59.5
21835,59.5
21839,-11.5
21841,59.5
21844,59.5
21846,59.5
21851,59.5
21855,59.5
21857,59.5
21860,59.5
21861,29.0
21863,59.5
21868,59.5
21869,59.5
21875,-15.0
21877,57.0
21898,59.5
21899,59.5
21900,-15.0
21909,59.5
21917,59.5
21918,36.5
21919,59.5
21938,-7.5
21950,59.5
21964,59.5
21965,59.5
22006,55.0
22012,59.5
22022,-15.0
22023,55.0
22038,59.5
22043,59.5
22053,59.5
22056,59.5
22057,59.5
22058,15.0
22064,8.0
22078,59.5
22080,-11.5
22109,59.5
22125,-10.0
22130,-11.0
22134,-6.5
22138,-15.0
22145,-11.0
22146,-15.0
22149,-15.0
22155,-15.0
22162,59.5
22172,59.5
22174,59.5
22179,59.5
22186,59.5
22190,59.5
22195,59.5
22205,41.5
22215,59.5
22217,59.5
22231,-15.0
22238,-12.0
22239,59.0
22257,59.5
22258,59.5
22262,46.0
22265,59.5
22281,-12.5
22285,-15.0
22290,59.5
22295,59.5
22301,59.5
22305,9.5
22320,59.5
22325,-10.5
22331,-13.0
22333,-13.0
22340,-15.0
22342,-10.0
22352,59.5
22354,59.5
22355,-9.0
22365,59.5
22381,59.5
22384,-15.0
22386,59.5
22387,59.5
22388,59.5
22391,59.5
22393,59.5
22395,58.0
22399,59.5
22402,59.5
22409,59.5
22410,44.0
22439,59.5
22453,59.5
22454,-15.0
22455,59.5
22461,59.5
22468,59.5
22488,59.5
22490,-15.0
22492,59.5
22505,-15.0
22516,-14.5
22521,59.5
22522,-12.0
22527,59.5
22533,-14.0
22544,-14.0
22552,59.5
22553,-12.5
22554,59.5
22564,-13.5
22572,59.5
22578,-15.0
22585,59.5
22589,29.0
22607,59.5
22649,59.5
22652,59.5
22660,59.5
22666,-15.0
22696,12.5
22699,59.5
22715,59.5
22722,59.5
22728,59.5
22737,59.5
22741,59.5
22742,30.5
22751,23.5
22771,59.5
22772,59.5
22775,59.5
22777,59.5
22785,59.5
22790,59.5
22797,59.5
22807,59.5
22808,18.0
22834,-15.0
22840,-15.0
22841,35.5
22846,59.5
22865,59.5
22868,-15.0
22870,59.5
22871,59.5
22906,59.5
22914,59.5
22925,-7.5
22941,-7.5
22970,-15.0
22979,59.5
22983,-15.0
22989,59.5
22992,59.5
22993,59.5
23005,-15.0
23013,59.5
23016,-9.5
23037,59.5
23043,59.5
23049,-15.0
23055,58.0
23060,23.5
23071,59.5
23173,20.5
23175,59.5
23176,59.5
23180,-15.0
23181,-12.0
23191,59.5
23201,59.5
23208,20.5
23209,59.5
23210,59.5
23216,59.5
23218,59.5
23222,-15.0
23230,25.5
23234,-15.0
23236,-15.0
23251,59.5
23257,-10.5
23263,45.0
23272,59.5
23285,59.5
23297,21.0
23301,59.5
23313,59.5
23315,-15.0
23321,11.5
23331,-11.5
23339,59.5
23344,45.5
23345,59.5
23349,59.5
23353,59.5
23358,-15.0
23405,59.5
23409,59.5
23420,59.5
23421,59.5
23424,-13.0
23438,19.5
23458,-15.0
23460,-15.0
23462,59.5
23464,-12.5
23468,-14.5
23469,59.5
23490,59.5
23496,-13.0
23500,-11.5
23502,59.5
23503,-12.0
23506,20.0
23507,59.5
23510,59.5
23514,-11.0
23520,59.5
23526,45.0
23535,-11.0
23542,-15.0
23550,39.0
23551,-7.5
23553,59.5
23554,59.5
23556,59.5
23560,59.5
23565,59.5
23568,-15.0
23571,59.5
23572,59.5
23574,59.5
23577,59.5
23585,59.5
23587,59.5
23598,59.5
23599,-11.0
23601,-12.0
23602,59.5
23647,59.5
23653,-15.0
23660,59.5
23662,59.5
23665,59.5
23666,-15.0
23680,59.5
23681,59.5
23685,42.0
23691,-9.5
23699,54.5
23711,59.5
23719,59.5
23727,59.5
23729,59.5
23737,59.5
23739,59.5
23740,59.5
23744,59.5
23745,-15.0
23753,59.5
23758,13.5
23759,59.5
23766,59.5
23773,-14.5
23776,59.5
23784,48.0
23791,59.5
23796,59.5
23804,59.5
23809,59.5
23813,59.5
23818,-12.5
23821,59.5
23822,-15.0
23823,59.5
23832,59.5
23838,59.5
23870,59.5
23873,-15.0
23875,59.5
23876,59.5
23878,59.5
23880,-15.0
23889,59.5
23893,59.5
23897,59.5
23898,59.5
23904,-15.0
23906,54.0
23909,59.5
23910,59.5
23917,-15.0
23919,58.5
23931,59.5
23935,-15.0
23951,-13.5
23952,59.5
23961,45.5
23963,-15.0
23970,59.5
23971,59.5
23975,59.5
23976,-15.0
23977,59.5
23979,59.5
23980,-15.0
23982,59.5
23983,59.5
23988,-15.0
23992,-12.5
23995,-15.0
24011,27.0
24012,57.0
24015,-15.0
24021,-15.0
24025,59.5
24033,59.5
24039,59.5
24041,59.5
24046,-13.0
24048,-11.5
24050,59.5
24054,59.5
24055,59.5
24058,59.5
24060,-15.0
24061,-15.0
24072,-11.0
24073,59.5
24074,59.5
24075,-15.0
24080,-11.5
24086,59.5
24091,59.5
24102,59.5
24103,59.5
24105,59.5
24106,59.5
24112,59.5
24116,-15.0
24118,59.5
24119,-15.0
24121,-10.5
24130,39.0
24134,-15.0
24136,-15.0
24137,-15.0
24140,-10.0
24142,59.5
24147,59.5
24169,59.5
24183,59.5
24200,19.0
24205,-15.0
24226,59.5
24229,59.5
24240,-11.0
24244,59.5
24246,-15.0
24247,8.5
24284,-13.5
24293,-15.0
24300,59.5
24317,-13.5
24321,59.5
24327,42.5
24332,-15.0
24344,59.5
24379,59.5
24386,-15.0
24396,7.5
24397,59.5
24398,59.5
24405,59.5
24407,0.5
24410,-13.0
24411,59.5
24416,59.5
24423,0.5
24432,59.5
24437,59.5
24439,59.5
24444,58.5
24451,59.5
24459,59.5
24460,59.5
24465,59.5
24467,59.5
24470,59.5
24472,17.0
24473,-15.0
24475,59.5
24476,59.5
24487,59.5
24493,23.0
24495,-15.0
24505,59.5
24520,59.5
24521,53.5
24524,59.5
24529,-15.0
24537,46.5
