star,"C,S,Score Values"
10191,4.5
10406,-2.0
10472,-4.0
10649,-15.0
10671,-2.5
10678,-7.0
11658,-3.5
11665,-3.5
13535,1.5
13545,-2.0
13552,-3.0
13648,-8.0
14168,1.5
14188,31.5
14201,9.0
14202,7.5
14215,4.5
14218,3.5
14596,45.0
14808,9.0
19749,-15.0
19754,2.5
19772,56.5
19773,-15.0
19777,1.5
19779,9.0
19782,38.5
19786,5.0
19788,7.5
19789,59.5
19792,14.5
19793,5.5
19801,5.0
19805,14.5
19806,2.5
19811,-15.0
19813,-14.0
19815,2.0
19816,1.5
19819,0.0
19820,1.0
19821,-2.0
19834,-2.5
19836,0.5
19837,-2.0
19839,37.0
19840,12.0
19845,-2.5
19850,2.5
19853,-7.5
19856,1.0
19858,-12.5
19861,2.5
19866,-2.5
19870,-4.5
19875,-15.0
19882,-2.0
19883,4.0
19898,5.5
19899,1.5
19902,-1.5
19906,2.0
19911,-15.0
19914,3.5
19921,-2.0
19924,-3.0
19926,3.0
19927,-13.0
19929,-11.5
19932,-2.5
19936,-15.0
19940,2.5
19947,-10.5
19949,1.5
19973,20.5
19976,-2.0
19986,-15.0
19988,-2.0
19990,5.0
20000,-3.0
20006,2.5
20010,59.5
20016,-3.0
20017,3.5
20024,1.5
20026,22.0
20030,2.0
20031,-13.5
20042,4.0
20043,2.5
20045,1.5
20047,4.5
20048,7.5
20053,1.5
20055,-2.5
20061,27.5
20064,5.0
20066,4.0
20071,3.5
20072,3.0
20075,13.0
20087,22.0
20090,3.0
20093,38.5
20095,1.5
20096,-4.0
20099,-2.5
20104,-2.0
20106,-3.0
20109,-2.5
20116,10.5
20124,2.0
20126,6.0
20130,1.0
20141,5.0
20144,-8.5
20146,-11.5
20147,5.5
20149,1.5
20154,3.0
20158,-15.0
20165,-2.0
20169,43.0
20175,1.0
20176,-2.0
20177,2.5
20178,3.0
20179,7.5
20180,3.0
20182,1.5
20187,4.0
20189,-15.0
20190,42.5
20199,1.0
20211,4.0
20215,0.5
20243,59.5
20256,0.5
20257,4.0
20258,-2.0
20259,0.5
20262,5.0
20263,0.5
20269,-3.0
20270,-2.0
20273,8.0
20276,38.0
20283,3.0
20285,-2.5
20287,53.5
20288,-2.0
20293,59.5
20294,-14.5
20296,-1.5
20301,9.0
20303,2.0
20307,31.0
20313,4.5
20327,-2.5
20334,0.0
20341,0.5
20347,9.0
20349,4.5
20351,3.0
20353,-13.5
20358,-2.0
20384,1.0
20388,-9.0
20395,-2.0
20404,-4.0
20407,7.0
20424,-10.5
20425,4.0
20426,14.0
20427,59.5
20507,4.5
20546,59.5
20596,59.5
20622,1.0
20684,1.0
20755,6.5
20759,38.0
20761,5.5
20765,22.0
20777,14.5
20779,47.5
20788,-14.5
20789,2.5
20793,59.5
20796,1.0
20797,9.5
20800,13.5
20801,-2.5
20806,4.5
20814,-3.0
20815,1.5
20820,12.0
20826,-2.0
20831,-2.0
20834,-2.5
20840,2.0
20841,1.0
20846,2.0
20847,-3.5
20860,-2.0
