star,"C,S,Score Values"
10191,2.5
10406,5.5
10472,5.5
10649,-12.5
10671,6.0
10678,-13.5
11658,59.5
11665,9.0
13535,0.5
13545,2.5
13552,9.0
13648,3.5
14168,10.5
14188,-15.0
14201,59.5
14202,59.5
14215,10.0
14218,21.0
14596,-12.5
14808,-15.0
19749,59.5
19754,5.5
19772,15.5
19773,34.0
19777,3.0
19779,11.5
19782,-15.0
19786,59.5
19788,4.0
19789,44.0
19792,38.0
19793,5.5
19801,14.5
19805,11.5
19806,11.5
19811,59.5
19813,3.5
19815,3.0
19816,1.5
19819,0.0
19820,1.0
19821,35.0
19834,-4.5
19836,1.0
19837,0.5
19839,11.5
19840,9.5
19845,3.5
19850,1.0
19853,-11.5
19856,37.5
19858,6.0
19861,5.5
19866,-14.5
19870,59.5
19875,6.0
19882,0.5
19883,4.5
19898,2.5
19899,1.0
19902,0.0
19906,1.0
19911,-6.0
19914,5.0
19921,0.0
19924,31.5
19926,1.5
19927,-6.5
19929,2.5
19932,-7.5
19936,-9.5
19940,2.5
19947,-6.5
19949,2.0
19973,59.5
19976,1.5
19986,14.5
19988,1.0
19990,4.5
20000,59.5
20006,6.5
20010,59.5
20016,59.5
20017,59.5
20024,2.5
20026,24.0
20030,1.5
20031,6.5
20042,2.5
20043,59.5
20045,4.0
20047,7.0
20048,59.5
20053,2.0
20055,4.5
20061,16.0
20064,2.5
20066,6.5
20071,2.5
20072,33.5
20075,59.5
20087,9.0
20090,5.5
20093,14.0
20095,2.0
20096,-13.0
20099,43.5
20104,3.0
20106,59.5
20109,-15.0
20116,59.5
20124,16.5
20126,1.5
20130,1.0
20141,-15.0
20144,59.5
20146,25.5
20147,36.5
20149,2.5
20154,5.5
20158,27.5
20165,2.0
20169,46.0
20175,3.0
20176,5.0
20177,8.0
20178,5.0
20179,1.5
20180,3.5
20182,7.5
20187,53.5
20189,14.0
20190,3.5
20199,4.0
20211,5.0
20215,1.0
20243,59.5
20256,1.5
20257,14.0
20258,1.0
20259,0.5
20262,4.0
20263,0.0
20269,-12.0
20270,-4.5
20273,2.5
20276,12.5
20283,4.5
20285,2.0
20287,8.5
20288,2.0
20293,13.5
20294,18.5
20296,-0.5
20301,17.0
20303,52.5
20307,10.0
20313,59.5
20327,7.5
20334,0.5
20341,1.0
20347,5.0
20349,8.0
20351,5.0
20353,-4.5
20358,3.5
20384,0.5
20388,6.5
20395,-7.0
20404,-15.0
20407,-7.5
20424,4.5
20425,59.5
20426,9.5
20427,18.5
20507,-15.0
20546,-15.0
20596,5.0
20622,0.5
20684,0.5
20755,13.0
20759,23.5
20761,14.0
20765,10.5
20777,40.0
20779,8.0
20788,59.5
20789,2.0
20793,24.0
20796,1.0
20797,59.5
20800,3.5
20801,7.0
20806,9.0
20814,12.5
20815,2.5
20820,12.0
20826,-9.5
20831,0.5
20834,-15.0
20840,2.0
20841,3.5
20846,59.5
20847,59.5
20860,1.5
20865,50.5
20869,-14.0
20872,3.0
20873,42.0
20875,3.5
20882,59.5
20893,3.5
20899,4.0
20902,2.5
20906,1.0
20908,7.5
20910,59.5
20913,59.5
20915,5.5
20925,11.5
20927,11.5
20932,59.5
20936,20.5
20943,-11.5
20945,5.0
20946,59.5
20950,2.0
20956,26.5
20962,38.0
20972,59.5
20975,8.5
20983,3.0
20985,32.5
20987,33.5
20989,3.0
21005,14.0
21012,59.5
21033,-12.5
21048,19.0
21056,25.0
21059,59.5
21065,2.5
21067,22.5
21072,59.5
21080,13.0
21081,59.5
21084,59.5
21096,9.5
21097,43.5
21102,4.0
21103,4.0
21104,-15.0
21122,26.5
21127,4.5
21128,5.0
21131,3.0
21143,1.0
21144,59.5
21146,-14.0
21153,-11.5
21154,-15.0
21155,49.0
21160,5.5
21163,36.5
21165,2.0
21166,2.5
21172,17.0
21177,11.5
21194,-10.0
21195,3.0
21199,1.5
21200,59.5
21201,0.5
21204,-9.5
21206,59.5
21209,59.5
21213,6.5
21214,-4.5
21223,35.5
21224,6.0
21227,1.0
21228,5.0
21229,-15.0
21233,59.5
21243,16.5
21256,-9.0
21260,9.5
21281,1.5
21284,59.5
21287,1.5
21293,0.0
21297,-15.0
21301,6.0
21302,30.0
21306,8.5
21314,26.5
21316,4.0
21317,-10.5
21321,0.5
21322,3.5
21337,3.0
21339,5.0
21347,2.0
21349,5.0
21355,18.5
21356,15.0
21366,3.0
21367,59.5
21371,59.5
21373,-15.0
21397,29.5
21400,24.0
21404,8.0
21407,17.0
21409,20.0
21410,42.0
21421,42.5
21424,23.0
21426,2.0
21444,-15.0
21445,0.5
21453,-7.0
21457,11.0
21458,5.5
21460,59.5
21463,42.5
21470,59.5
21478,2.5
21495,1.0
21496,1.0
21499,-15.0
21515,-5.0
21516,6.0
21524,-9.0
21529,1.0
21536,59.5
21538,59.5
21539,3.5
21547,2.0
21548,32.0
21561,59.5
21567,17.0
21573,59.5
21575,5.5
21593,4.5
21596,59.5
21599,38.5
21614,6.5
21615,16.5
21619,2.5
21626,-9.0
21629,3.0
21630,59.5
21637,-15.0
21647,59.5
21657,13.0
21669,2.0
21670,59.5
21673,59.5
21680,59.5
21693,-15.0
21698,-13.0
21700,0.5
21703,0.0
21718,59.5
21722,-14.0
21727,3.0
21739,17.5
21742,59.5
21749,59.5
21756,-0.5
21768,-15.0
21769,12.5
21772,-14.0
21778,59.5
21779,4.5
21780,-15.0
21786,47.5
21814,-15.0
21824,-10.5
21834,2.0
21835,4.0
21839,-15.0
21841,59.5
21844,28.0
21846,59.5
21851,44.0
21855,59.5
21857,2.5
21860,5.0
21861,1.0
21863,8.5
21868,59.5
21869,3.5
21875,7.0
21877,0.5
21898,27.0
21899,47.5
21900,16.0
21909,5.0
21917,2.5
21918,0.5
21919,2.0
21938,0.0
21950,30.0
21964,3.0
21965,59.5
22006,0.5
22012,6.5
22022,-15.0
22023,-3.5
22038,25.5
22043,5.5
22053,59.5
22056,1.5
22057,2.0
22058,0.0
22064,0.5
22078,-15.0
22080,11.5
22109,2.0
22125,59.5
22130,1.5
22134,2.0
22138,56.0
22145,10.5
22146,-13.5
22149,59.5
22155,18.5
22162,-15.0
22172,2.0
22174,6.5
22179,-15.0
22186,1.5
22190,24.5
22195,24.5
22205,0.5
22215,5.5
22217,59.5
22231,1.5
22238,59.5
22239,1.0
22257,2.0
22258,9.0
22262,1.0
22265,4.5
22281,59.5
22285,7.0
22290,1.5
22295,59.5
22301,59.5
22305,4.0
22320,6.5
22325,6.5
22331,-5.0
22333,-11.5
22340,19.0
22342,4.5
22352,59.5
22354,1.5
22355,0.0
22365,29.5
22381,59.5
22384,2.5
22386,3.5
22387,42.5
22388,10.0
22391,1.0
22393,6.0
22395,59.5
22399,4.5
22402,38.0
22409,59.5
22410,9.0
22439,59.5
22453,26.0
22454,9.5
22455,-15.0
22461,59.5
22468,29.5
22488,-15.0
22490,22.5
22492,6.0
22505,-12.5
22516,-5.0
22521,6.0
22522,6.0
22527,59.5
22533,11.0
22544,2.0
22552,59.5
22553,0.5
22554,5.5
22564,9.5
22572,-10.0
22578,10.0
22585,1.5
22589,0.5
22607,2.5
22649,-8.0
22652,59.5
22660,1.5
22666,10.0
22696,0.0
22699,59.5
22715,18.0
22722,9.0
22728,59.5
22737,31.5
22741,9.5
22742,0.5
22751,0.0
22771,59.5
22772,1.0
22775,14.0
22777,3.0
22785,59.5
22790,-5.5
22797,36.5
22807,59.5
22808,0.0
22834,-15.0
22840,10.0
22841,9.0
22846,1.5
22865,15.5
22868,14.0
22870,25.0
22871,12.0
22906,59.5
22914,19.5
22925,-3.5
22941,0.5
22970,59.5
22979,17.5
22983,-14.0
22989,13.0
22992,15.5
22993,59.5
23005,1.0
23013,2.0
23016,-8.0
23037,17.0
23043,13.0
23049,3.0
23055,59.5
23060,6.5
23071,59.5
23173,0.0
23175,19.0
23176,2.0
23180,-13.0
23181,-7.0
23191,3.0
23201,22.0
23208,0.5
23209,9.5
23210,16.0
23216,10.5
23218,25.5
23222,-7.5
23230,0.0
23234,-15.0
23236,59.5
23251,0.0
23257,59.5
23263,1.5
23272,-11.0
23285,28.0
23297,1.0
23301,19.0
23313,59.5
23315,5.5
23321,8.0
23331,-8.0
23339,1.5
23344,59.5
23345,9.5
23349,3.5
23353,59.5
23358,7.0
23405,22.5
23409,1.0
23420,48.0
23421,10.5
23424,9.5
23438,-0.5
23458,6.5
23460,9.0
23462,2.0
23464,59.5
23468,-12.5
23469,12.5
23490,5.0
23496,59.5
23500,-10.0
23502,22.5
23503,2.5
23506,9.0
23507,-15.0
23510,4.5
23514,3.0
23520,29.5
23526,1.0
23535,-15.0
23542,-15.0
23550,1.0
23551,0.5
23553,11.0
23554,1.0
23556,2.5
23560,2.5
23565,37.5
23568,2.0
23571,59.5
23572,4.5
23574,7.0
23577,1.0
23585,3.5
23587,59.5
23598,6.0
23599,-15.0
23601,8.5
23602,1.0
23647,1.5
23653,-15.0
23660,-15.0
23662,19.0
23665,6.5
23666,6.5
23680,1.0
23681,9.5
23685,0.5
23691,1.5
23699,-15.0
23711,3.0
23719,5.5
23727,59.5
23729,3.5
23737,39.5
23739,-6.0
23740,4.0
23744,1.5
23745,7.0
23753,-15.0
23758,1.0
23759,7.5
23766,59.5
23773,26.0
23776,59.5
23784,4.0
23791,2.5
23796,5.0
23804,-10.5
23809,5.5
23813,44.0
23818,59.5
23821,7.5
23822,-15.0
23823,24.5
23832,6.0
23838,59.5
23870,1.0
23873,56.0
23875,34.0
23876,2.5
23878,59.5
23880,56.5
23889,11.0
23893,9.0
23897,25.5
23898,59.5
23904,4.5
23906,3.0
23909,2.5
23910,9.0
23917,59.5
23919,59.5
23931,59.5
23935,59.5
23951,-14.5
23952,11.0
23961,0.0
23963,-4.5
23970,-15.0
23971,18.0
23975,0.5
23976,21.5
23977,1.5
23979,45.0
23980,34.0
23982,2.0
23983,59.5
23988,59.5
23992,59.5
23995,2.5
24011,0.5
24012,1.0
24015,-15.0
24021,59.5
24025,2.5
24033,3.5
24039,19.5
24041,-12.0
24046,3.0
24048,-12.5
24050,-11.5
24054,1.5
24055,18.0
24058,4.0
24060,15.5
24061,-15.0
24072,-7.0
24073,3.0
24074,3.0
24075,6.5
24080,-12.5
24086,1.5
24091,2.5
24102,1.5
24103,37.0
24105,1.0
24106,6.0
24112,1.5
24116,4.5
24118,13.5
24119,5.5
24121,5.5
24130,-13.0
24134,21.0
24136,27.5
24137,21.0
24140,-14.5
24142,1.0
24147,3.5
24169,5.0
24183,-15.0
24200,59.5
24205,5.5
24226,-15.0
24229,13.0
24240,-5.0
24244,56.5
24246,-15.0
24247,2.0
24284,59.5
24293,5.5
24300,7.5
24317,10.0
24321,-15.0
24327,3.0
24332,-9.0
24344,-15.0
24379,1.0
24386,-14.5
24396,0.0
24397,3.0
24398,12.0
24405,9.5
24407,-0.5
24410,10.0
24411,12.5
24416,0.0
24423,-0.5
24432,17.5
24437,59.5
24439,15.5
24444,10.0
24451,18.0
24459,-15.0
24460,59.5
24465,59.5
24467,20.5
24470,59.5
24472,0.0
24473,59.5
24475,2.0
24476,59.5
24487,6.0
24493,0.5
24495,-14.5
24505,14.5
24520,3.0
24521,1.0
24524,13.5
24529,31.5
24537,2.0
24538,2.5
24539,2.0
24558,1.5
24566,0.5
24569,9.0
24570,-12.5
