star,"C,S,Score Values"
0,59.5
1,59.5
2,59.5
3,20.5
4,59.0
5,59.5
6,29.5
7,59.5
8,59.5
9,59.5
10,18.0
11,59.5
12,27.5
13,20.5
14,8.5
15,59.5
16,59.0
17,46.0
19,37.0
20,29.0
21,59.5
22,19.0
23,58.0
24,23.5
25,59.5
26,59.5
27,59.5
28,27.5
29,57.5
30,59.5
31,59.5
32,59.5
33,59.5
34,37.0
35,19.0
36,59.5
37,15.5
38,59.5
39,-13.5
40,18.0
41,15.5
42,59.5
43,59.5
44,59.5
45,29.0
46,9.5
47,59.5
48,15.0
49,59.5
50,59.5
51,-15.0
52,59.5
55,-15.0
56,59.5
57,59.5
58,59.5
59,9.0
60,51.0
61,59.5
62,59.5
63,59.5
64,59.5
65,59.5
66,59.5
67,59.5
68,47.0
69,30.0
70,58.0
71,59.5
72,-15.0
73,59.5
74,12.0
76,-12.5
77,-15.0
78,59.5
79,59.5
80,59.5
81,59.5
82,49.0
83,47.5
84,59.5
85,59.5
86,50.0
88,59.5
89,59.5
90,46.0
91,48.0
92,59.5
94,59.5
95,59.5
96,59.5
97,59.5
98,59.5
99,14.5
100,59.5
102,59.5
103,59.5
104,59.5
105,59.5
106,59.5
108,59.5
110,-13.0
112,59.5
113,59.5
114,59.5
116,57.5
117,59.5
118,59.5
119,55.5
120,59.5
121,59.5
122,59.5
123,59.5
124,59.5
125,59.5
126,52.5
127,12.5
128,20.5
129,59.5
130,44.0
131,59.5
132,59.5
133,16.5
135,37.0
136,59.5
138,59.5
139,41.0
140,3.0
141,26.5
143,59.5
144,59.5
145,59.5
147,8.0
148,59.5
149,41.5
151,-13.0
152,59.5
153,13.0
154,59.5
155,23.5
156,-13.5
157,16.0
158,59.5
159,48.0
160,59.0
161,59.5
163,59.5
164,59.5
165,59.5
166,59.5
168,59.5
169,59.5
170,59.5
171,59.5
172,59.5
173,59.5
174,59.5
175,59.5
177,11.5
178,-15.0
179,59.5
181,-15.0
182,59.5
185,59.5
186,43.0
187,59.5
188,59.5
189,10.0
190,59.5
191,59.5
193,-15.0
194,-12.5
195,59.5
198,59.5
199,59.5
200,59.5
201,59.5
202,59.5
203,59.5
205,6.5
206,59.5
207,59.5
209,-15.0
210,-15.0
211,59.5
212,-13.5
215,27.0
216,59.5
217,44.0
219,59.5
220,59.5
221,53.5
222,55.0
223,10.0
224,59.5
225,59.5
226,13.5
227,59.5
229,59.5
230,59.5
231,36.5
232,-15.0
233,59.5
234,35.5
235,59.5
236,59.5
237,59.5
238,59.5
239,59.5
240,59.5
241,28.0
242,59.5
243,59.5
244,59.5
245,59.5
246,59.5
247,9.5
248,58.0
249,59.5
250,59.5
251,59.5
253,59.5
255,-15.0
258,59.5
259,48.5
260,59.5
262,59.5
263,59.5
264,-15.0
265,13.0
266,59.5
267,59.5
268,26.0
269,59.5
270,59.5
271,59.5
272,59.5
273,59.5
274,59.5
276,30.0
277,58.5
279,6.5
281,23.5
282,59.5
284,59.5
285,58.5
287,52.5
289,59.5
290,59.5
294,59.5
296,59.5
297,59.5
298,38.0
299,-15.0
300,-15.0
301,59.5
302,59.5
303,59.5
305,59.5
306,59.5
307,59.5
308,59.5
309,21.5
310,59.5
311,-15.0
312,59.5
313,59.5
314,59.5
315,59.5
316,59.5
317,59.5
318,15.5
319,-15.0
321,59.0
323,59.5
324,59.5
325,59.5
326,59.5
327,59.5
328,59.5
329,59.5
331,36.5
332,50.5
333,59.5
334,59.5
335,59.5
336,59.5
337,59.5
338,40.5
339,59.5
340,59.5
341,18.5
342,33.0
345,-11.0
346,59.5
347,55.5
348,59.5
349,59.5
350,-15.0
351,59.5
352,59.5
353,59.5
354,59.5
356,58.5
357,40.5
360,-15.0
361,59.5
362,-15.0
363,59.5
364,39.0
366,59.5
367,59.5
368,34.0
369,10.5
370,20.5
371,58.5
372,59.5
373,59.5
374,59.5
375,59.5
377,59.0
378,59.5
380,59.5
381,38.5
382,59.5
383,58.0
384,59.5
385,59.5
387,-15.0
388,-15.0
389,36.0
390,59.5
392,-11.5
393,27.5
394,48.5
395,59.5
396,59.5
399,59.5
400,59.5
401,59.5
402,-15.0
403,59.5
404,59.5
405,59.5
409,59.5
410,56.0
411,59.5
412,-15.0
413,59.5
414,59.5
415,59.5
416,59.5
417,12.5
419,59.5
420,42.5
421,59.5
422,56.5
423,59.5
425,59.5
427,59.5
428,-15.0
429,57.5
430,59.5
431,20.5
432,43.0
433,54.5
434,59.5
435,14.0
436,-15.0
438,26.0
439,55.5
440,32.0
441,59.5
442,59.5
443,59.5
445,59.5
449,47.5
454,59.5
455,59.5
456,59.5
459,59.5
460,21.5
461,35.5
463,59.5
464,59.5
465,59.5
466,20.0
467,59.5
468,59.5
472,59.5
474,59.5
475,59.5
476,59.5
477,59.5
478,19.5
479,55.5
480,29.5
482,59.5
485,59.5
487,-15.0
489,59.5
495,59.5
499,17.5
500,51.0
513,59.5
516,59.5
517,6.0
518,59.5
519,32.5
523,42.0
524,59.5
527,38.5
529,59.5
533,44.5
536,59.5
537,57.5
538,59.5
539,59.5
540,57.5
541,41.0
542,30.5
543,59.5
544,54.0
546,59.5
547,-10.5
548,34.5
550,34.0
553,26.5
555,59.5
556,59.5
557,59.5
558,18.5
559,-15.0
562,58.0
563,59.5
565,59.5
566,59.5
568,-15.0
569,26.5
570,59.0
571,59.5
572,59.5
573,12.0
574,20.0
575,59.5
584,59.5
590,57.5
598,59.5
599,-15.0
601,7.5
602,14.5
603,19.5
604,26.5
605,-15.0
606,59.5
608,9.0
609,31.5
610,59.5
612,59.5
615,59.5
617,-15.0
618,59.5
619,59.5
620,59.5
621,59.5
623,-15.0
624,37.0
626,59.5
627,59.5
628,59.5
629,59.5
631,43.0
632,44.5
635,59.5
637,10.0
638,57.5
639,59.5
641,59.5
642,59.5
643,57.5
644,40.0
645,59.5
646,59.5
648,59.5
649,1.5
650,49.5
653,59.5
654,59.5
656,59.5
657,59.0
658,59.5
659,59.5
660,59.5
661,59.5
662,59.5
663,59.5
664,59.5
668,22.5
669,59.5
672,59.5
673,59.5
674,59.5
675,59.5
678,59.5
681,-15.0
689,9.0
693,-15.0
696,59.5
697,59.5
700,59.5
701,56.0
704,59.5
705,26.5
707,59.5
708,22.0
709,54.0
710,16.5
711,29.5
718,14.0
724,59.5
725,18.5
727,59.5
729,56.5
730,59.5
731,54.5
733,59.5
735,29.5
736,59.5
737,59.5
742,59.5
754,59.5
755,59.5
757,59.5
760,59.5
762,59.5
763,59.5
766,-14.5
767,59.5
770,59.5
771,51.0
772,56.0
773,59.5
774,59.5
780,21.0
782,59.5
786,59.5
787,59.5
788,59.5
789,24.5
790,31.0
793,59.5
795,59.5
799,59.5
803,59.5
804,59.5
805,59.5
806,29.5
807,58.5
808,59.5
809,23.0
810,59.5
811,58.5
813,57.0
815,-15.0
816,59.5
817,13.0
819,45.0
820,27.5
821,14.0
822,9.5
823,59.5
830,29.5
831,59.5
832,29.0
833,33.5
835,59.5
838,59.5
840,59.5
842,44.0
844,59.5
846,59.5
849,39.0
853,59.5
854,59.5
856,21.5
859,13.0
860,59.5
861,59.5
862,59.5
863,59.5
864,57.5
865,11.0
866,59.5
869,59.5
872,11.5
873,59.5
874,59.5
876,59.5
877,59.5
883,59.5
884,59.5
886,59.5
889,20.5
891,59.5
893,41.0
895,59.5
896,59.5
897,59.5
899,58.5
901,58.0
902,59.5
904,59.5
905,8.0
907,-15.0
909,59.5
914,19.5
916,59.0
917,59.5
918,-15.0
920,59.5
923,57.5
924,59.5
925,59.5
926,17.5
927,-15.0
928,59.5
929,-15.0
931,12.5
932,59.5
933,59.5
936,30.5
937,34.5
938,59.5
939,59.5
940,59.5
944,59.5
945,59.5
946,59.5
947,20.0
948,59.5
949,59.5
951,38.5
952,59.5
957,59.5
958,59.5
960,56.5
961,59.5
963,59.5
964,59.5
967,28.0
970,59.0
971,-15.0
972,59.5
973,59.5
974,46.0
975,59.5
977,-15.0
978,59.5
979,59.5
982,59.5
983,6.0
985,-15.0
987,-15.0
989,55.5
991,-15.0
994,11.5
995,59.5
996,59.5
997,-15.0
999,59.5
1000,59.5
1002,59.5
1003,20.5
1004,42.5
1005,59.5
1006,-15.0
1007,-15.0
1008,24.0
1009,31.5
1010,-15.0
1011,59.5
1012,59.5
1013,59.5
1014,22.0
1015,59.5
1018,12.5
1019,22.5
1021,59.5
1023,37.0
1024,54.0
1026,59.5
1030,45.0
1031,59.5
1032,59.5
1035,59.5
1036,46.0
1037,59.5
1038,59.5
1039,59.5
1043,59.5
1044,18.5
1045,59.5
1046,18.5
1048,47.5
1049,54.5
1050,21.5
1051,59.5
1052,42.5
1053,59.5
1054,59.5
1055,24.0
1056,-15.0
1057,-15.0
1058,59.5
1059,59.5
1060,59.5
1061,59.5
1062,59.5
1063,59.5
1064,-14.0
1065,59.5
1067,42.5
1068,-15.0
1069,-15.0
1070,59.5
1071,49.0
1072,59.5
1074,59.5
1075,59.5
1076,59.5
1077,59.5
1078,59.5
1079,59.5
1084,-15.0
1088,16.5
1090,59.5
1093,59.5
1095,59.5
1096,-15.0
1097,-15.0
1101,59.5
1102,-15.0
1103,59.5
1105,-15.0
1106,59.5
1107,59.5
1108,19.5
1109,10.0
1110,59.5
1111,59.5
1112,57.5
1113,59.5
1114,3.0
1115,-15.0
1116,59.5
1117,8.5
1118,59.5
1119,59.5
1120,59.5
1121,57.5
1122,59.5
1123,59.5
1124,59.5
1125,51.5
1126,59.5
1127,-15.0
1131,59.5
1133,59.5
1134,59.5
1137,59.5
1141,59.5
1142,59.5
1143,59.5
1144,59.5
1147,51.5
1148,59.5
