star,"C,S,Score Values"
0,-12.5
1,59.5
2,59.5
3,7.5
4,48.0
5,59.5
6,-15.0
7,59.5
8,23.5
9,59.5
10,59.5
11,59.5
12,59.5
13,32.0
14,28.5
15,46.0
16,45.5
17,59.5
19,-15.0
20,59.5
21,59.5
22,59.5
23,59.5
24,59.5
25,59.5
26,59.5
27,-15.0
28,59.5
29,59.5
30,59.5
31,59.5
32,59.5
33,-13.5
34,59.5
35,59.5
36,59.5
37,-15.0
38,59.5
39,-5.5
40,59.5
41,44.0
42,-15.0
43,59.0
44,-15.0
45,55.5
46,59.5
47,59.5
48,50.0
49,59.5
50,59.5
51,-15.0
52,59.5
55,-15.0
56,-15.0
57,59.5
58,-15.0
59,8.0
60,59.5
61,57.0
62,59.5
63,-15.0
64,59.5
65,59.5
66,-15.0
67,58.0
68,59.5
69,-14.0
70,59.5
71,59.5
72,-11.0
73,59.5
74,59.5
76,-15.0
77,-15.0
78,-15.0
79,-15.0
80,59.5
81,-15.0
82,59.5
83,59.5
84,-15.0
85,-15.0
86,59.5
88,59.5
89,-15.0
90,59.5
91,59.5
92,-15.0
94,59.5
95,59.5
96,59.5
97,59.5
98,55.0
99,59.5
100,-15.0
102,-14.5
103,12.0
104,59.5
105,-15.0
106,-15.0
108,59.5
110,-15.0
112,-13.5
113,59.5
114,-12.5
116,59.5
117,46.0
118,-15.0
119,-15.0
120,-12.5
121,-15.0
122,59.5
123,-15.0
124,-15.0
125,59.5
126,59.5
127,59.5
128,59.5
129,59.5
130,-15.0
131,59.5
132,-15.0
133,50.0
135,-15.0
136,59.5
138,59.5
139,10.0
140,8.5
141,59.5
143,59.5
144,59.5
145,59.5
147,14.5
148,59.5
149,59.5
151,59.5
152,59.5
153,39.5
154,-15.0
155,59.5
156,59.5
157,20.0
158,59.5
159,-15.0
160,59.5
161,59.5
163,59.5
164,59.5
165,-15.0
166,-15.0
168,-10.5
169,59.5
170,59.5
171,59.5
172,-14.5
173,-13.0
174,-10.0
175,59.5
177,9.0
178,-14.5
179,-15.0
181,-8.5
182,-15.0
185,59.5
186,-15.0
187,59.5
188,-15.0
189,59.5
190,-15.0
191,-10.5
193,-15.0
194,-15.0
195,-15.0
198,-12.0
199,-15.0
200,49.0
201,59.5
202,-13.5
203,-14.5
205,7.5
206,14.5
207,59.5
209,-15.0
210,-15.0
211,-14.5
212,-7.0
215,9.0
216,-15.0
217,58.5
219,59.5
220,59.5
221,59.5
222,59.5
223,43.5
224,59.5
225,59.5
226,59.5
227,59.5
229,-14.0
230,-12.0
231,59.5
232,-15.0
233,-15.0
234,59.5
235,-15.0
236,-15.0
237,59.5
238,59.5
239,-15.0
240,59.5
241,59.5
242,59.5
243,-15.0
244,-15.0
245,59.5
246,59.5
247,23.5
248,-15.0
249,-15.0
250,-15.0
251,26.0
253,23.0
255,59.5
258,-15.0
259,59.5
260,-14.5
262,-15.0
263,59.5
264,59.5
265,-15.0
266,59.5
267,-15.0
268,59.5
269,59.5
270,-15.0
271,59.5
272,-15.0
273,-15.0
274,-15.0
276,59.5
277,52.5
279,-13.5
281,59.5
282,-15.0
284,59.5
285,59.5
287,59.5
289,-11.5
290,53.0
294,59.5
296,59.5
297,-15.0
298,-15.0
299,-15.0
300,-15.0
301,-15.0
302,-15.0
303,-15.0
305,59.5
306,-13.5
307,-15.0
308,-15.0
309,59.5
310,-15.0
311,59.5
312,-15.0
313,-15.0
314,-15.0
315,59.5
316,59.5
317,-15.0
318,38.5
319,-15.0
321,59.5
323,59.5
324,-15.0
325,-15.0
326,59.5
327,-15.0
328,59.5
329,-15.0
331,59.5
332,59.5
333,59.5
334,-15.0
335,59.5
336,-15.0
337,-15.0
338,59.5
339,19.5
340,59.5
341,59.5
342,59.5
345,-12.5
346,-15.0
347,59.5
348,-15.0
349,59.5
350,59.5
351,59.5
352,59.5
353,-15.0
354,-15.0
356,-15.0
357,59.5
360,-15.0
361,-15.0
362,-15.0
363,31.0
364,59.5
366,-15.0
367,-15.0
368,59.5
369,55.0
370,46.5
371,-15.0
372,59.5
373,36.5
374,-15.0
375,-15.0
377,59.5
378,-15.0
380,-15.0
381,59.5
382,-15.0
383,59.5
384,59.5
385,55.0
387,-15.0
388,-15.0
389,59.5
390,59.5
392,-10.5
393,58.0
394,-15.0
395,59.5
396,59.5
399,59.5
400,59.5
401,-15.0
402,-15.0
403,41.5
404,22.5
405,59.5
409,-15.0
410,-15.0
411,59.5
412,-15.0
413,59.5
414,-15.0
415,57.5
416,-15.0
417,12.5
419,59.5
420,59.5
421,-15.0
422,59.5
423,-15.0
425,-15.0
427,-15.0
428,-15.0
429,59.5
430,-15.0
431,59.5
432,59.5
433,-15.0
434,59.5
435,29.0
436,59.5
438,59.5
439,19.5
440,59.5
441,-15.0
442,-15.0
443,-15.0
445,59.5
449,13.5
454,59.5
455,59.5
456,59.5
459,59.5
460,59.5
461,-15.0
463,-14.5
464,59.5
465,59.5
466,59.5
467,59.5
468,-15.0
472,-12.5
474,-15.0
475,59.5
476,59.5
477,-14.5
478,-15.0
479,17.0
480,59.5
482,15.0
485,59.5
487,-15.0
