star,"C,S,Score Values"
10191,0
10406,0
10472,0
10649,0
10671,0
10678,0
11658,0
11665,0
13535,0
13545,0
13552,0
13648,0
14168,0
14188,0
14201,0
14202,0
14215,0
14218,0
14596,0
14808,0
19749,0
19754,0
19772,0
19773,0
19777,0
19779,0
19782,0
19786,0
19788,0
19789,0
19792,0
19793,0
19801,0
19805,0
19806,0
19811,0
19813,0
19815,0
19816,0
19819,0
19820,0
19821,0
19834,0
19836,0
19837,0
19839,0
19840,0
19845,0
19850,0
19853,0
19856,0
19858,0
19861,0
19866,0
19870,0
19875,0
19882,0
19883,0
19898,0
19899,0
19902,0
19906,0
19911,0
19914,0
19921,0
19924,0
19926,0
19927,0
19929,0
19932,0
19936,0
19940,0
19947,0
19949,0
19973,0
19976,0
19986,0
19988,0
19990,0
20000,0
20006,0
20010,0
20016,0
20017,0
20024,0
20026,0
20030,0
20031,0
20042,0
20043,0
20045,0
20047,0
20048,0
20053,0
20055,0
20061,0
20064,0
20066,0
20071,0
20072,0
20075,0
20087,0
20090,0
20093,0
20095,0
20096,0
20099,0
20104,0
20106,0
20109,0
20116,0
20124,0
20126,0
20130,0
20141,0
20144,0
20146,0
20147,0
20149,0
20154,0
20158,0
20165,0
20169,0
20175,0
20176,0
20177,0
20178,0
20179,0
20180,0
20182,0
20187,0
20189,0
20190,0
20199,0
20211,0
20215,0
20243,0
20256,0
20257,0
20258,0
20259,0
20262,0
20263,0
20269,0
20270,0
20273,0
20276,0
20283,0
20285,0
20287,0
20288,0
20293,0
20294,0
20296,0
20301,0
20303,0
20307,0
20313,0
20327,0
20334,0
20341,0
20347,0
20349,0
20351,0
20353,0
20358,0
20384,0
20388,0
20395,0
20404,0
20407,0
20424,0
20425,0
20426,0
20427,0
20507,0
20546,0
20596,0
20622,0
20684,0
20755,0
20759,0
20761,0
20765,0
20777,0
20779,0
20788,0
20789,0
20793,0
20796,0
20797,0
20800,0
20801,0
20806,0
20814,0
20815,0
20820,0
20826,0
20831,0
20834,0
20840,0
20841,0
20846,0
20847,0
20860,0
20865,0
20869,0
20872,0
20873,0
20875,0
20882,0
20893,0
20899,0
20902,0
20906,0
20908,0
20910,0
20913,0
20915,0
20925,0
20927,0
20932,0
20936,0
20943,0
20945,0
20946,0
20950,0
20956,0
20962,0
20972,0
20975,0
20983,0
20985,0
20987,0
20989,0
21005,0
21012,0
21033,0
21048,0
21056,0
21059,0
21065,0
21067,0
21072,0
21080,0
21081,0
21084,0
21096,0
21097,0
21102,0
21103,0
21104,0
21122,0
21127,0
21128,0
21131,0
21143,0
21144,0
21146,0
21153,0
21154,0
21155,0
21160,0
21163,0
21165,0
