star,Slope
20823,-0.003299999999999558
22198,-0.013599999999999533
22848,-0.004399999999999558
24291,-0.0024999999999995594
19791,-0.00529999999999956
19796,-0.003299999999999558
19876,-0.014699999999999526
19880,-0.012099999999999542
19890,-0.00529999999999956
19904,-0.013199999999999535
19905,-0.03939999999999966
19955,-0.008099999999999566
19972,-0.009999999999999554
20038,-0.0053999999999995605
20068,-0.009899999999999555
20098,-0.014399999999999528
20138,-0.00899999999999956
20255,-0.01719999999999951
20292,-0.01229999999999954
20308,-0.010899999999999549
20367,-0.008799999999999562
20571,-0.003999999999999557
20735,-0.011599999999999545
20833,-0.01249999999999954
20887,-0.011799999999999543
20923,-0.011399999999999546
20957,-0.004199999999999557
21028,-0.012099999999999542
21196,-0.012099999999999542
21469,-0.012799999999999537
21506,-0.010299999999999553
21519,-0.008299999999999565
21558,-0.013099999999999536
21747,-0.00909999999999956
21773,-0.005799999999999562
21979,-0.011799999999999543
22063,-0.014799999999999525
22148,-0.011699999999999544
22160,-0.011399999999999546
22175,-0.010099999999999554
22185,-0.011899999999999543
22256,-0.007599999999999566
22280,-0.009399999999999558
22313,-0.01059999999999955
22328,-0.011099999999999548
22368,-0.011799999999999543
22659,-0.008499999999999563
22718,-0.005599999999999561
22864,-0.010099999999999554
22900,-0.012199999999999541
23014,-0.009399999999999558
23074,-0.009999999999999554
23198,-0.010999999999999548
23307,-0.010499999999999551
23410,-0.007499999999999566
23478,-0.010299999999999553
23694,-0.01249999999999954
23706,-0.008399999999999564
23738,-0.009799999999999556
23769,-0.004699999999999559
23810,-0.004699999999999559
23885,-0.009899999999999555
23929,-0.010399999999999552
23930,-0.006599999999999564
23946,-0.011699999999999544
24085,-0.010999999999999548
24104,-0.005999999999999562
24114,-0.00899999999999956
24143,-0.009799999999999556
24201,-0.010199999999999553
24224,-0.005699999999999561
24243,-0.008699999999999562
24255,-0.010399999999999552
24302,-0.009599999999999557
24498,-0.010499999999999551
24603,-0.01079999999999955
24730,-0.011499999999999545
24732,-0.01079999999999955
24755,-0.013799999999999531
24962,-0.00919999999999956
24993,-0.010999999999999548
24997,-0.01079999999999955
25002,-0.009499999999999557
25008,-0.009399999999999558
25035,-0.012699999999999538
25037,-0.008899999999999561
25041,-0.005999999999999562
22044,-0.00529999999999956
22052,-0.003799999999999557
23939,-0.003399999999999558
24795,-0.005999999999999562
25005,-0.005899999999999562
