star,Slope
19971,-0.00119999999999956
20027,-0.0006999999999995597
20232,-0.00149999999999956
20279,-0.0007999999999995597
20339,-0.0010999999999995599
20352,-0.00129999999999956
20369,-0.00139999999999956
20379,-0.00149999999999956
20403,-0.00159999999999956
20443,-0.00119999999999956
20799,-0.0002999999999995596
20811,-0.0007999999999995597
20890,-0.00119999999999956
20903,-0.0008999999999995598
20968,-0.00139999999999956
21011,-0.002699999999999559
21304,-0.0010999999999995599
21544,-0.00119999999999956
21549,-0.00139999999999956
21555,-0.00139999999999956
21565,-0.0007999999999995597
21566,-0.0008999999999995598
21570,-0.00139999999999956
21572,-0.00159999999999956
21589,-0.00139999999999956
21649,-0.0008999999999995598
21676,-0.0009999999999995598
21685,-0.00119999999999956
21690,-0.00139999999999956
21733,-0.0016999999999995602
21859,-0.0009999999999995598
21864,-0.00149999999999956
21907,-0.0010999999999995599
21930,-0.00159999999999956
21945,-0.0007999999999995597
22576,-0.00119999999999956
22592,-0.0007999999999995597
22768,-0.0010999999999995599
22779,-0.0009999999999995598
22781,-0.0007999999999995597
22837,-0.0009999999999995598
23248,-0.0006999999999995597
23425,-0.00119999999999956
23434,-0.0005999999999995597
23439,-0.0003999999999995596
23595,-0.0018999999999995602
23597,-0.0004999999999995596
23654,-0.00119999999999956
23677,-0.0025999999999995593
23797,-0.0018999999999995602
23807,-0.0018999999999995602
23918,-0.0016999999999995602
23932,-0.0008999999999995598
23945,-0.0007999999999995597
23965,-0.0005999999999995597
23974,-0.0010999999999995599
24007,-0.0005999999999995597
24067,-0.0009999999999995598
24092,-0.0003999999999995596
24395,-0.0009999999999995598
24461,-0.0010999999999995599
24483,-0.0005999999999995597
24510,-0.0004999999999995596
24545,-0.0006999999999995597
24568,-0.0006999999999995597
24627,-0.00159999999999956
24764,-0.0006999999999995597
24820,-0.0009999999999995598
24824,-0.0002999999999995596
24926,-0.0002999999999995596
24935,-0.0010999999999995599
24953,-0.0003999999999995596
21031,-0.003899999999999557
21813,-0.00119999999999956
22159,-0.0007999999999995597
23627,-0.00119999999999956
19798,-0.0025999999999995593
19842,-0.0010999999999995599
19846,-0.00119999999999956
19943,-0.00159999999999956
20103,-0.0009999999999995598
20268,-0.0025999999999995593
20290,-0.00129999999999956
20291,-0.00129999999999956
20310,-0.00129999999999956
20312,-0.0008999999999995598
20320,-0.0010999999999995599
20330,-0.00159999999999956
20502,-0.004799999999999559
21069,-0.00139999999999956
21174,-0.0010999999999995599
21188,-0.0010999999999995599
21255,-0.00129999999999956
21264,-0.00119999999999956
21303,-0.00139999999999956
21305,-0.0007999999999995597
21308,-0.0009999999999995598
21323,-0.0005999999999995597
21338,-0.00149999999999956
21350,-0.00119999999999956
21466,-0.00149999999999956
21474,-0.0010999999999995599
21489,-0.00129999999999956
21508,-0.00129999999999956
21523,-0.00119999999999956
21588,-0.00119999999999956
21600,-0.0017999999999995602
21677,-0.0019999999999995603
21719,-0.0022999999999995598
21729,-0.00159999999999956
21821,-0.0009999999999995598
21858,-0.0010999999999995599
21878,-0.0016999999999995602
21879,-0.00129999999999956
22009,-0.0009999999999995598
22019,-0.0009999999999995598
22020,-0.00209999999999956
22054,-0.00149999999999956
22099,-0.0007999999999995597
22117,-0.00139999999999956
22199,0.002100000000000441
22549,-0.0010999999999995599
22561,-0.0016999999999995602
22569,-0.0008999999999995598
22579,-0.0010999999999995599
22601,-0.00129999999999956
22602,-0.0010999999999995599
22603,-0.00149999999999956
22847,-0.0016999999999995602
22855,-0.00129999999999956
22935,-0.00019999999999955963
22947,-0.0017999999999995602
22982,-0.0009999999999995598
23261,-0.00119999999999956
23279,-0.00119999999999956
23312,-0.0009999999999995598
23529,-0.00139999999999956
23566,-0.0019999999999995603
23596,-0.00139999999999956
23663,-0.0006999999999995597
23693,-0.0009999999999995598
23953,-0.0016999999999995602
24035,-0.00149999999999956
24045,-0.00019999999999955963
24051,-0.0004999999999995596
24100,-0.00129999999999956
24122,-0.0010999999999995599
24233,-0.00119999999999956
24339,-0.00119999999999956
24696,-0.00159999999999956
24740,-0.00129999999999956
24742,-0.0017999999999995602
24744,-0.0009999999999995598
24896,-0.00139999999999956
24898,-0.0009999999999995598
20390,0.0013000000000004408
20867,-0.00119999999999956
24013,-0.0031999999999995582
20492,-0.01569999999999952
20558,-0.0029999999999995586
20083,-0.0024999999999995594
20823,-0.003299999999999558
22198,-0.013599999999999533
22848,-0.004399999999999558
24291,-0.0024999999999995594
19791,-0.00529999999999956
19796,-0.003299999999999558
19876,-0.014699999999999526
19880,-0.012099999999999542
19890,-0.00529999999999956
19904,-0.013199999999999535
19905,-0.03939999999999966
19955,-0.008099999999999566
19972,-0.009999999999999554
20038,-0.0053999999999995605
20068,-0.009899999999999555
20098,-0.014399999999999528
20138,-0.00899999999999956
20255,-0.01719999999999951
20292,-0.01229999999999954
20308,-0.010899999999999549
20367,-0.008799999999999562
20571,-0.003999999999999557
20735,-0.011599999999999545
20833,-0.01249999999999954
20887,-0.011799999999999543
20923,-0.011399999999999546
20957,-0.004199999999999557
21028,-0.012099999999999542
21196,-0.012099999999999542
21469,-0.012799999999999537
21506,-0.010299999999999553
21519,-0.008299999999999565
21558,-0.013099999999999536
21747,-0.00909999999999956
21773,-0.005799999999999562
21979,-0.011799999999999543
22063,-0.014799999999999525
22148,-0.011699999999999544
22160,-0.011399999999999546
22175,-0.010099999999999554
22185,-0.011899999999999543
22256,-0.007599999999999566
22280,-0.009399999999999558
22313,-0.01059999999999955
22328,-0.011099999999999548
22368,-0.011799999999999543
22659,-0.008499999999999563
22718,-0.005599999999999561
22864,-0.010099999999999554
22900,-0.012199999999999541
23014,-0.009399999999999558
23074,-0.009999999999999554
23198,-0.010999999999999548
23307,-0.010499999999999551
23410,-0.007499999999999566
23478,-0.010299999999999553
23694,-0.01249999999999954
23706,-0.008399999999999564
23738,-0.009799999999999556
23769,-0.004699999999999559
23810,-0.004699999999999559
23885,-0.009899999999999555
23929,-0.010399999999999552
23930,-0.006599999999999564
23946,-0.011699999999999544
24085,-0.010999999999999548
24104,-0.005999999999999562
24114,-0.00899999999999956
24143,-0.009799999999999556
24201,-0.010199999999999553
24224,-0.005699999999999561
24243,-0.008699999999999562
24255,-0.010399999999999552
24302,-0.009599999999999557
24498,-0.010499999999999551
24603,-0.01079999999999955
24730,-0.011499999999999545
24732,-0.01079999999999955
24755,-0.013799999999999531
24962,-0.00919999999999956
24993,-0.010999999999999548
24997,-0.01079999999999955
25002,-0.009499999999999557
25008,-0.009399999999999558
25035,-0.012699999999999538
25037,-0.008899999999999561
