star,values
20823,1.0
22198,0.5
22848,0.5
24291,3.0
19791,2.5
19796,3.0
19876,0.5
19880,0.0
19890,1.5
19904,0.0
19905,0.5
19955,0.0
19972,0.0
20038,1.0
20068,0.0
20098,0.0
20138,0.5
20255,0.0
20292,0.0
20308,0.0
20367,0.0
20571,1.5
20735,0.0
20833,0.5
20887,0.0
20923,0.5
20957,2.0
21028,0.0
21196,1.0
21469,0.0
21506,0.0
21519,0.0
21558,0.0
21747,0.0
21773,0.5
21979,0.0
22063,0.0
22148,0.0
22160,0.5
22175,0.5
22185,-0.5
22256,0.5
22280,0.5
22313,0.5
22328,0.0
22368,0.0
22659,1.0
22718,1.0
22864,0.0
22900,0.5
23014,0.5
23074,0.0
23198,0.5
23307,0.0
23410,0.5
23478,0.0
23694,0.5
23706,0.5
23738,0.5
23769,1.5
23810,2.0
23885,0.0
23929,-0.5
23930,1.0
23946,0.0
24085,0.0
24104,0.5
24114,0.0
24143,0.0
24201,1.0
24224,1.5
24243,1.0
24255,0.0
24302,0.0
24498,0.0
24603,0.5
24730,0.0
24732,0.0
24755,0.0
24962,0.0
24993,0.0
24997,0.0
25002,0.5
25008,0.5
25035,1.0
25037,0.0
25041,1.0
22044,2.0
22052,2.0
23939,5.0
24795,1.0
25005,2.0
