star,"C,S,Score Values"
20823,2.5
22198,0.5
22848,2.5
24291,4.0
19791,1.0
19796,3.5
19876,0.5
19880,0.5
19890,2.0
19904,0.5
19905,-0.5
19955,1.0
19972,0.5
20038,1.5
20068,0.5
20098,0.0
20138,0.5
20255,0.5
20292,0.0
20308,0.0
20367,0.5
20571,2.0
20735,0.5
20833,0.5
20887,0.0
20923,0.5
20957,2.0
21028,0.0
21196,0.5
21469,0.0
21506,0.5
21519,0.5
21558,-0.5
21747,0.5
21773,1.0
21979,0.5
22063,0.0
22148,0.5
22160,0.0
22175,0.5
22185,0.0
22256,1.0
22280,0.5
22313,0.5
22328,0.5
22368,0.5
22659,1.0
22718,1.5
22864,0.5
22900,0.5
23014,0.5
23074,0.0
23198,0.5
23307,0.0
23410,1.0
23478,0.5
23694,0.5
23706,0.5
23738,0.5
23769,1.5
23810,2.0
23885,-0.5
23929,0.0
23930,1.5
23946,0.0
24085,0.5
24104,1.0
24114,0.5
24143,0.5
24201,0.5
24224,2.0
24243,1.0
24255,0.5
24302,0.5
24498,0.5
24603,0.5
24730,0.0
24732,0.5
24755,0.0
24962,0.5
24993,0.0
24997,0.0
25002,0.5
25008,0.5
25035,0.5
25037,0.5
25041,1.5
22044,1.5
22052,2.0
23939,4.0
24795,2.0
25005,2.0
