star,values
20823,0
22198,0
22848,0
24291,0
19791,0
19796,0
19876,0
19880,0
19890,0
19904,0
19905,0
19955,0
19972,0
20038,0
20068,0
20098,0
20138,0
20255,0
20292,0
20308,0
20367,0
20571,0
20735,0
20833,0
20887,0
20923,0
20957,0
21028,0
21196,0
21469,0
21506,0
21519,0
21558,0
21747,0
21773,0
21979,0
22063,0
22148,0
22160,0
22175,0
22185,0
22256,0
22280,0
22313,0
22328,0
22368,0
22659,0
22718,0
22864,0
22900,0
23014,0
23074,0
23198,0
23307,0
23410,0
23478,0
23694,0
23706,0
23738,0
23769,0
23810,0
23885,0
23929,0
23930,0
23946,0
24085,0
24104,0
24114,0
24143,0
24201,0
24224,0
24243,0
24255,0
24302,0
24498,0
24603,0
24730,0
24732,0
24755,0
24962,0
24993,0
24997,0
25002,0
25008,0
25035,0
25037,0
25041,0
22044,0
22052,0
23939,0
24795,0
25005,0
