star,values
20823,0.005800000000000443
22198,-0.006999999999999565
22848,0.0049000000000004405
24291,0.0024000000000004404
19791,0.00480000000000044
19796,0.002000000000000441
19876,-0.008799999999999562
19880,-0.010499999999999551
19890,-0.004899999999999559
19904,-0.010499999999999551
19905,-0.035099999999999534
19955,-0.007199999999999565
19972,-0.00899999999999956
20038,-0.0045999999999995584
20068,-0.009299999999999559
20098,-0.01239999999999954
20138,-0.008799999999999562
20255,-0.011499999999999545
20292,-0.009599999999999557
20308,-0.010299999999999553
20367,-0.008299999999999565
20571,-0.005499999999999561
20735,-0.009899999999999555
20833,-0.010199999999999553
20887,-0.009699999999999556
20923,-0.003299999999999558
20957,-0.0004999999999995596
21028,-0.009499999999999557
21196,-0.008699999999999562
21469,-0.011699999999999544
21506,-0.00899999999999956
21519,-0.006699999999999564
21558,-0.01059999999999955
21747,-0.008499999999999563
21773,-0.006099999999999562
21979,-0.010499999999999551
22063,-0.011799999999999543
22148,-0.010099999999999554
22160,-0.0072999999999995655
22175,-0.008899999999999561
22185,-0.010899999999999549
22256,-0.006199999999999563
22280,-0.008299999999999565
22313,-0.007899999999999567
22328,-0.012999999999999536
22368,-0.010199999999999553
22659,-0.009299999999999559
22718,-0.0053999999999995605
22864,-0.00919999999999956
22900,-0.009899999999999555
23014,-0.008499999999999563
23074,-0.007799999999999567
23198,-0.0076999999999995666
23307,-0.008299999999999565
23410,-0.006399999999999563
23478,-0.00909999999999956
23694,-0.009799999999999556
23706,-0.007199999999999565
23738,-0.008399999999999564
23769,0.0007000000000004405
23810,0.001600000000000441
23885,-0.008199999999999565
23929,-0.010399999999999552
23930,-0.00529999999999956
23946,-0.009699999999999556
24085,-0.00909999999999956
24104,-0.006099999999999562
24114,-0.008199999999999565
24143,-0.008599999999999563
24201,-0.0068999999999995645
24224,-0.0045999999999995584
24243,-0.006399999999999563
24255,-0.008899999999999561
24302,-0.008799999999999562
24498,-0.009499999999999557
24603,-0.008699999999999562
24730,-0.010299999999999553
24732,-0.009299999999999559
24755,-0.013099999999999536
24962,-0.008399999999999564
24993,-0.00899999999999956
24997,-0.008899999999999561
25002,-0.008399999999999564
25008,-0.00919999999999956
25035,-0.006999999999999565
25037,-0.008599999999999563
25041,-0.0049999999999995595
22044,-0.00019999999999955963
22052,0.0006000000000004405
23939,0.0007000000000004405
24795,-0.0053999999999995605
25005,-0.0024999999999995594
