star,values
20823,0.0021048711478161295
22198,-0.002143846178501192
22848,0.0015242514439090427
24291,0.0011266189654262433
19791,0.0013254310340254653
19796,0.0005824549410992617
19876,-0.0022310582581060003
19880,-0.001894381938431023
19890,-0.000828048325036836
19904,-0.0020301132476812254
19905,-0.007963842507441896
19955,-0.000953518999894118
19972,-0.0016365478780205494
20038,-0.0004938742749020233
20068,-0.001772630226012328
20098,-0.002095236237837708
20138,-0.001486381842015065
20255,-0.002365989292679657
20292,-0.001751193321962676
20308,-0.0016132413776438993
20367,-0.0013284650742249294
20571,-0.0006027132696822589
20735,-0.0015938349675173919
20833,-0.0019275179321461547
20887,-0.0014867179305016708
20923,-0.0019432959787504954
20957,0.00013967370904382625
21028,-0.0013193289447793973
21196,-0.002199828910604647
21469,-0.0017100183746817004
21506,-0.0014864792994625472
21519,-0.0010127726050262779
21558,-0.0016745083767745767
21747,-0.0012441961276761881
21773,-0.0005724960489043192
21979,-0.0019692061455597824
22063,-0.0024432721315729503
22148,-0.0016446163228595982
22160,-0.0018784060884302995
22175,-0.001456924412912783
22185,-0.001682512787308819
22256,-0.0012878385898661123
22280,-0.001535892281280604
22313,-0.0013419455221334088
22328,-0.0021974718671164
22368,-0.001708815544703575
22659,-0.002353459268018555
22718,-0.0006497429056988211
22864,-0.0014779987976706926
22900,-0.001535837482968537
23014,-0.0015098961700034154
23074,-0.0008692850407646939
23198,-0.0015995098278703953
23307,-0.001838148573336257
23410,-0.001161563867510701
23478,-0.0014918494664928786
23694,-0.001855676501543634
23706,-0.0007410589713164712
23738,-0.0015174474754701284
23769,0.00044562472595886305
23810,0.0006579237245368601
23885,-0.0003089546945338825
23929,-0.001290330355685901
23930,-0.000559579144151645
23946,-0.0018407430027163616
24085,-0.0018581498373880924
24104,-0.0009211000655371031
24114,-0.001241136011370639
24143,-0.0016009196054996584
24201,-0.0013424480805442698
24224,-0.0006222013398455841
24243,-0.001422614591693679
24255,-0.0013804236140305638
24302,-0.001152269957777242
24498,-0.001412122183406142
24603,-0.0019325218671847324
24730,-0.0015566648417890028
24732,-0.0015343441845185172
24755,-0.0022951671462244803
24962,-0.0013273697403399691
24993,-0.0015990082426149128
24997,-0.0013194516893148846
25002,-0.0014066653253445138
25008,-0.001607007489081047
25035,-0.002222541288132191
25037,-0.0013894761002331772
25041,-0.000845281141133898
22044,0.0001580232646441082
22052,0.00031471990456700825
23939,5.9005518022043875e-05
24795,-0.0011066395005183858
25005,-0.0006012134579018097
