star,values
20823,0.0014681075433594269
22198,-0.0017193371088633906
22848,0.0009936151068617907
24291,0.0007137402812579705
19791,0.0009615661171930646
19796,0.0005824549410992617
19876,-0.0018065491884681987
19880,-0.0014698728687932215
19890,-0.00040353925539903435
19904,-0.0016056041780434238
19905,-0.009237369716355302
19955,-0.0005290099302563163
19972,-0.0012120388083827478
20038,-6.936520526422169e-05
20068,-0.0013481211563745265
20098,-0.0016707271681999066
20138,-0.0010618727723772634
20255,-0.0019414802230418556
20292,-0.0013266842523248744
20308,-0.0011887323080060977
20367,-0.0009039560045871277
20571,-0.00017820420004445719
20735,-0.0011693258978795903
20833,-0.001503008862508353
20887,-0.0010622088608638692
20923,-0.0015187869091126938
20957,0.000564182778681628
21028,-0.0008948198751415956
21196,-0.0017753198409668452
21469,-0.0012855093050438988
21506,-0.0010619702298247454
21519,-0.0005882635353884762
21558,-0.0012499993071367751
21747,-0.0008196870580383864
21773,-0.0001479869792665175
21979,-0.0015446970759219808
22063,-0.0020187630619351487
22148,-0.0012201072532217966
22160,-0.001453897018792498
22175,-0.0010324153432749814
22185,-0.0012580037176710174
22256,-0.0008633295202283105
22280,-0.0011113832116428023
22313,-0.000917436452495607
22328,-0.0017729627974785982
22368,-0.0012843064750657734
22659,-0.0019289501983807533
22718,-0.00022523383606101938
22864,-0.0010534897280328908
22900,-0.0011113284133307355
23014,-0.0010853871003656135
23074,-0.00044477597112689224
23198,-0.0011750007582325937
23307,-0.0014136395036984553
23410,-0.0007370547978728994
23478,-0.001067340396855077
23694,-0.0014311674319058324
23706,-0.0003165499016786695
23738,-0.0010929384058323268
23769,0.00044562472595886305
23810,0.0006579237245368601
23885,0.00015864655828063865
23929,-0.0008658212860480993
23930,-0.00013507007451384328
23946,-0.00141623393307856
24085,-0.0014336407677502908
24104,-0.0004965909958993014
24114,-0.0008166269417328372
24143,-0.0011764105358618568
24201,-0.0009179390109064681
24224,-0.00019769227020778244
24243,-0.0009981055220558773
24255,-0.0009559145443927621
24302,-0.0007277608881394404
24498,-0.0009876131137683403
24603,-0.0015080127975469308
24730,-0.0011321557721512012
24732,-0.0011098351148807156
24755,-0.0018706580765866787
24962,-0.0009028606707021674
24993,-0.0011744991729771112
24997,-0.0008949426196770829
25002,-0.000982156255706712
25008,-0.0011824984194432455
25035,-0.0017980322184943894
25037,-0.0009649670305953755
25041,-0.0004207720714960963
22044,0.0005825323342819099
22052,0.0007392289742048099
23939,0.00048351458765984553
24795,-0.0006821304308805841
25005,-0.00017670438826400804
