star,values
20823,0.0008162493484620342
22198,-0.004398078563473658
22848,0.000695410615414726
24291,0.0006830027937827795
19791,-0.0011844958361926928
19796,-2.1007110792203507e-05
19876,-0.004691736483306951
19880,-0.0026874881590975173
19890,-0.0008168377931848708
19904,-0.002583678714110987
19905,-0.007146070063117777
19955,-0.0008778404180108579
19972,-0.0030854198464936944
20038,-0.0005505547186889154
20068,-0.0018811317196162347
20098,-0.0034077033630718076
20138,-0.0019119261264700959
20255,-0.003789588718903781
20292,-0.0026044530931878746
20308,-0.0021013577839648105
20367,-0.0015605395736673548
20571,-0.0002996799723689695
20735,-0.0019435682737994405
20833,-0.003531713634676241
20887,-0.002289113781246449
20923,-0.004413597753840885
20957,-0.0002190485300155808
21028,-0.0028856341336140953
21196,-0.0034549717762331882
21469,-0.0033156504496942114
21506,-0.0016616812454546953
21519,-0.0016542270437151583
21558,-0.0030829362130121198
21747,-0.0017218844096388356
21773,-0.0005393327057295332
21979,-0.002686716119917054
22063,-0.0037874895454470875
22148,-0.002948286099876459
22160,-0.004162021030761323
22175,-0.0023947699643361168
22185,-0.0018472556426211214
22256,-0.0017272129421947106
22280,-0.002489063018174105
22313,-0.0028543695189877085
22328,-0.0029076108233214186
22368,-0.0027042938700720803
22659,-0.002360392615711527
22718,-0.00037287974719357525
22864,-0.0021546698490431298
22900,-0.00308234583033907
23014,-0.0022839209109642876
23074,-0.0023107213803512374
23198,-0.0026629133371966285
23307,-0.002580099490010739
23410,-0.0010012138767089504
23478,-0.0023692887410129097
23694,-0.003285409217285986
23706,-0.001778119924759656
23738,-0.002211521467679804
23769,-0.0005679071343849269
23810,-0.0001294314422477064
23885,-0.0024609539863705105
23929,-0.0014777997597003511
23930,-0.0010708597655734934
23946,-0.0027333784522004844
24085,-0.0026515789808923967
24104,-0.0006956222993472708
24114,-0.001595378567206013
24143,-0.002356772824953007
24201,-0.002846097140250325
24224,-0.0008508025007693233
24243,-0.0017746763863441281
24255,-0.0017797266310410778
24302,-0.0016523539549408823
24498,-0.0023711038251452666
24603,-0.0026769694911345622
24730,-0.0023915100087949113
24732,-0.0023514702698193956
24755,-0.002775079562360141
24962,-0.0014759779476017775
24993,-0.002538189895039091
24997,-0.0021120092474927058
25002,-0.0018176327403783053
25008,-0.0018601203066883293
25035,-0.003975711550099779
25037,-0.0019997502132952216
25041,-0.0012641370052027476
22044,-0.0009837684432748926
22052,-0.00021704554432045158
23939,-0.0003895622916219774
24795,-0.0015795446382190226
25005,-0.0012595499885014252
