star,values
10093,8.5
10094,59.5
10097,55.5
10098,59.5
10099,-15.0
10101,28.0
10102,29.0
10105,59.5
10107,59.5
10112,59.5
10113,59.5
10114,59.5
10115,-15.0
10119,59.5
10120,14.5
10122,57.0
10125,-15.0
10126,59.5
10127,14.0
10130,59.5
10131,59.5
10135,59.5
10138,4.0
10140,59.5
10143,16.5
10147,-0.5
10148,24.0
10149,59.5
10151,6.5
10154,12.0
10155,11.0
10161,40.0
10162,59.5
10165,10.0
10168,21.5
10173,31.0
10174,22.0
10176,-11.0
10178,59.5
10183,59.5
10184,6.0
10186,10.0
10188,59.5
10190,-5.0
10191,32.0
10192,20.5
10193,38.0
10197,59.5
10198,59.5
10199,59.5
10201,59.5
10202,59.5
10204,23.5
10206,59.5
10209,59.0
10210,24.5
10211,25.0
10213,31.0
10214,59.5
10215,44.5
10216,59.5
10217,59.5
10218,-15.0
10219,59.5
10221,59.5
10223,59.5
10224,49.5
10226,18.0
10227,59.5
10228,59.5
10236,46.5
10237,59.5
10238,7.0
10239,12.5
10240,22.5
10251,59.5
10252,52.5
10253,59.0
10254,-6.0
10255,59.5
10256,14.5
10263,7.0
10264,59.5
10265,29.0
10266,8.0
10267,42.0
10272,59.5
10274,59.5
10276,59.5
10279,8.5
10280,50.0
10281,13.5
10282,10.0
10284,21.5
10290,59.5
10292,27.5
10296,59.5
10297,11.5
10301,21.0
10304,59.5
10308,59.5
10309,37.0
10312,59.5
10313,37.0
10314,30.0
10317,57.0
10318,59.5
10320,7.0
10326,59.0
10332,12.0
10333,13.0
10336,15.0
10338,-15.0
10339,16.0
10341,10.5
10342,37.0
10348,53.5
10352,50.5
10361,13.0
10363,59.5
10371,14.5
10374,14.0
10375,42.0
10380,59.5
10385,59.5
10387,43.0
10388,-15.0
10398,13.0
10401,45.0
10406,17.0
10417,16.0
10421,46.0
10424,59.5
10427,59.5
10432,59.5
10448,-0.5
10462,-1.5
10472,44.5
10504,59.5
10518,10.0
10528,-15.0
10530,-13.5
10534,59.5
10553,59.5
10558,4.5
10568,59.5
10570,41.0
10574,59.5
10580,59.5
10583,59.5
10589,59.5
10590,59.5
10597,59.5
10602,55.0
10609,5.5
10617,59.5
10621,9.5
10625,-7.5
10626,59.5
10630,-10.5
10635,4.5
10637,58.5
10642,59.5
10644,42.5
10648,58.5
10649,59.5
10650,59.5
10656,8.0
10661,36.5
10671,15.0
10672,42.0
10673,41.5
10676,59.5
10678,59.5
10680,9.5
10681,19.0
10684,12.0
10685,59.5
10689,49.0
10690,59.5
10695,28.0
10698,40.5
10699,6.5
10718,59.5
10719,59.5
10720,59.5
10721,-15.0
10722,59.5
10724,59.5
10731,46.0
10732,29.0
10733,21.0
10734,59.5
10737,59.5
10747,12.5
10753,20.5
10755,33.0
10764,25.5
10767,59.5
10771,59.5
10777,59.5
10782,14.5
10783,59.5
10788,18.0
10795,59.5
10797,59.5
10802,59.5
10805,8.5
10806,14.5
10810,34.0
10811,8.0
10819,3.5
10822,59.5
10823,59.5
10828,28.5
10833,59.5
10834,12.0
10839,10.5
10842,59.5
10845,10.0
10852,59.5
10853,9.0
10858,-15.0
10861,45.5
10863,59.5
10870,59.5
10872,22.5
10874,40.0
10878,59.5
10884,9.0
10886,50.0
10890,5.0
10891,59.5
10897,26.5
10902,-15.0
10903,59.5
10907,22.0
10908,57.5
10909,0.0
10910,59.5
10912,14.5
10916,14.0
10925,59.5
10928,11.5
10930,6.5
10931,17.5
10933,20.0
10934,19.5
10936,21.0
10938,38.0
10939,59.5
10940,59.5
10941,5.0
10943,59.5
10955,52.0
10957,59.5
10959,59.5
10960,11.5
10961,15.0
10964,24.0
10967,16.5
10972,21.0
10975,23.0
10977,55.5
10985,38.0
10991,29.5
10999,15.0
11005,59.5
11007,59.0
11013,13.5
11024,-7.5
11026,59.5
11034,59.5
11035,27.5
11036,13.5
11038,6.0
11041,3.5
11042,59.5
11047,7.5
11048,-15.0
11051,8.5
11052,43.0
11056,21.0
11062,43.5
11064,22.5
11065,27.5
11066,53.5
11068,59.5
11072,30.0
11075,48.5
11078,37.5
11080,7.0
11089,30.5
11090,54.5
11092,47.0
11093,40.0
11097,16.0
11100,16.0
11101,59.5
11106,14.0
11114,16.5
11119,0.0
11121,34.0
11123,51.0
11124,12.5
11125,59.5
11129,10.5
11130,10.0
11131,59.5
11132,15.5
11133,43.0
11134,56.5
11136,53.0
11139,13.5
11140,44.0
11141,6.5
11144,59.5
11147,12.0
11148,59.5
11150,19.0
11152,-15.0
11153,15.5
11154,4.5
11158,57.0
11159,59.5
11161,21.5
11163,9.0
11167,15.5
11168,9.0
11170,8.0
11172,59.5
11173,24.5
11174,59.5
11175,12.5
11176,14.5
11178,52.5
11180,27.5
11182,16.0
11183,59.5
11184,44.0
11185,59.5
11186,59.5
11190,50.0
11192,59.5
11197,59.5
11199,59.5
11200,7.5
11201,-12.5
11202,12.5
11204,59.5
11206,59.0
11208,22.0
11213,56.0
11217,38.0
11220,59.5
11221,59.5
11224,59.5
11227,59.5
11228,32.5
11230,59.5
11232,11.0
11233,0.5
11234,3.0
11237,12.0
11239,59.5
11240,59.5
11241,-15.0
11243,40.0
11245,24.5
11246,59.5
11248,36.5
11250,21.5
11252,17.0
11253,59.5
11254,52.5
11256,59.5
11257,1.5
11258,-15.0
11259,18.0
11260,-14.0
11262,14.5
11266,10.0
11267,59.5
11268,22.0
11269,53.5
11271,59.5
11274,59.5
11277,59.5
11278,17.5
11279,22.0
11280,59.5
11285,-15.0
11286,34.0
11289,23.0
11291,59.5
11293,59.5
11294,26.5
11295,59.5
11296,44.5
11297,13.5
11298,26.0
11299,31.5
11300,59.5
11301,52.0
11302,59.5
11303,17.0
11304,12.0
11307,42.0
11309,47.0
11310,59.5
