star,values
10093,12.0
10094,59.5
10097,-15.0
10098,-10.0
10099,-15.0
10101,-15.0
10102,27.5
10105,19.5
10107,42.0
10112,59.0
10113,59.5
10114,28.0
10115,59.5
10119,-15.0
10120,27.5
10122,27.5
10125,-15.0
10126,59.5
10127,15.0
10130,49.5
10131,59.5
10135,59.5
10138,-9.5
10140,12.0
10143,48.0
10147,-4.0
10148,59.5
10149,23.5
10151,59.5
10154,59.5
10155,-13.5
10161,59.5
10162,59.5
10165,59.5
10168,-15.0
10173,59.5
10174,44.5
10176,-10.0
10178,-15.0
10183,59.5
10184,-8.0
10186,17.5
10188,-15.0
10190,-4.0
10191,54.5
10192,59.5
10193,59.5
10197,-13.0
10198,59.5
10199,9.5
10201,59.5
10202,59.0
10204,39.0
10206,59.5
10209,59.5
10210,23.5
10211,6.5
10213,-13.0
10214,59.5
10215,59.5
10216,59.5
10217,59.5
10218,59.5
10219,59.5
10221,59.5
10223,59.5
10224,-15.0
10226,26.0
10227,59.5
10228,59.5
10236,-14.5
10237,59.5
10238,11.0
10239,-13.0
10240,59.5
10251,59.5
10252,59.5
10253,59.5
10254,-6.5
10255,59.5
10256,59.5
10263,20.5
10264,16.5
10265,41.5
10266,23.0
10267,-10.0
10272,59.5
10274,59.5
10276,-15.0
10279,59.5
10280,59.5
10281,-15.0
10282,23.5
10284,59.5
10290,-13.0
10292,59.5
10296,59.5
10297,22.5
10301,-15.0
10304,-15.0
10308,59.5
10309,59.5
10312,59.5
10313,59.5
10314,59.5
10317,9.5
10318,-14.5
10320,5.5
10326,-15.0
10332,59.5
10333,24.5
10336,25.5
10338,59.5
10339,-10.5
10341,41.0
10342,-15.0
10348,11.5
10352,59.5
10361,41.0
10363,-15.0
10371,59.5
10374,21.0
10375,-15.0
10380,-15.0
10385,-9.5
10387,-15.0
10388,-1.5
10398,20.0
10401,-15.0
10406,-14.0
10417,24.5
10421,59.0
10424,59.5
10427,59.5
10432,-15.0
10448,-3.5
10462,-2.0
10472,59.5
10504,14.0
10518,35.0
10528,-10.5
10530,-7.0
10534,59.5
10553,-15.0
10558,-9.5
10568,-15.0
10570,-11.0
10574,-15.0
10580,58.5
10583,-15.0
10589,59.5
10590,6.5
10597,-10.5
10602,31.5
10609,-9.0
