star,values
10093,0
10094,0
10097,0
10098,0
10099,0
10101,0
10102,0
10105,0
10107,0
10112,0
10113,0
10114,0
10115,0
10119,0
10120,0
10122,0
10125,0
10126,0
10127,0
10130,0
10131,0
10135,0
10138,0
10140,0
10143,0
10147,0
10148,0
10149,0
10151,0
10154,0
10155,0
10161,0
10162,0
10165,0
10168,0
10173,0
10174,0
10176,0
10178,0
10183,0
10184,0
10186,0
10188,0
10190,0
10191,0
10192,0
10193,0
10197,0
10198,0
10199,0
10201,0
10202,0
10204,0
10206,0
10209,0
10210,0
10211,0
10213,0
10214,0
10215,0
10216,0
10217,0
10218,0
10219,0
10221,0
10223,0
10224,0
10226,0
10227,0
10228,0
10236,0
10237,0
10238,0
10239,0
10240,0
10251,0
10252,0
10253,0
10254,0
10255,0
10256,0
10263,0
10264,0
10265,0
10266,0
10267,0
10272,0
10274,0
10276,0
10279,0
10280,0
10281,0
10282,0
10284,0
10290,0
10292,0
10296,0
10297,0
10301,0
10304,0
10308,0
10309,0
10312,0
10313,0
10314,0
10317,0
10318,0
10320,0
10326,0
10332,0
10333,0
10336,0
10338,0
10339,0
10341,0
10342,0
10348,0
10352,0
10361,0
10363,0
10371,0
10374,0
10375,0
10380,0
10385,0
10387,0
10388,0
10398,0
10401,0
10406,0
10417,0
10421,0
10424,0
10427,0
10432,0
10448,0
10462,0
10472,0
10504,0
10518,0
10528,0
10530,0
10534,0
10553,0
10558,0
10568,0
10570,0
10574,0
10580,0
10583,0
10589,0
10590,0
10597,0
10602,0
10609,0
10617,0
10621,0
10625,0
10626,0
10630,0
10635,0
10637,0
10642,0
10644,0
10648,0
10649,0
10650,0
10656,0
10661,0
10671,0
10672,0
10673,0
10676,0
10678,0
10680,0
10681,0
10684,0
10685,0
10689,0
10690,0
10695,0
10698,0
10699,0
10718,0
10719,0
10720,0
10721,0
10722,0
10724,0
10731,0
10732,0
10733,0
10734,0
10737,0
10747,0
10753,0
10755,0
10764,0
10767,0
10771,0
10777,0
10782,0
10783,0
10788,0
10795,0
10797,0
10802,0
10805,0
10806,0
10810,0
10811,0
10819,0
10822,0
10823,0
10828,0
10833,0
10834,0
10839,0
10842,0
10845,0
10852,0
10853,0
10858,0
10861,0
10863,0
10870,0
10872,0
10874,0
10878,0
10884,0
10886,0
10890,0
10891,0
10897,0
10902,0
10903,0
10907,0
10908,0
10909,0
10910,0
10912,0
10916,0
10925,0
10928,0
10930,0
10931,0
10933,0
10934,0
10936,0
10938,0
10939,0
10940,0
10941,0
10943,0
10955,0
10957,0
10959,0
10960,0
10961,0
10964,0
10967,0
10972,0
10975,0
10977,0
10985,0
10991,0
10999,0
11005,0
11007,0
11013,0
11024,0
11026,0
11034,0
11035,0
11036,0
11038,0
11041,0
11042,0
11047,0
11048,0
11051,0
11052,0
11056,0
11062,0
11064,0
11065,0
11066,0
11068,0
11072,0
11075,0
11078,0
11080,0
11089,0
11090,0
11092,0
11093,0
11097,0
11100,0
11101,0
11106,0
11114,0
11119,0
11121,0
11123,0
11124,0
11125,0
11129,0
11130,0
11131,0
11132,0
11133,0
11134,0
11136,0
11139,0
11140,0
11141,0
11144,0
11147,0
11148,0
11150,0
11152,0
11153,0
11154,0
11158,0
11159,0
11161,0
11163,0
11167,0
11168,0
11170,0
11172,0
11173,0
11174,0
11175,0
11176,0
11178,0
11180,0
11182,0
11183,0
11184,0
11185,0
11186,0
11190,0
11192,0
11197,0
11199,0
11200,0
11201,0
11202,0
11204,0
11206,0
11208,0
11213,0
11217,0
11220,0
11221,0
11224,0
11227,0
11228,0
11230,0
11232,0
11233,0
11234,0
11237,0
11239,0
11240,0
11241,0
11243,0
11245,0
11246,0
11248,0
11250,0
11252,0
11253,0
11254,0
11256,0
11257,0
11258,0
11259,0
11260,0
11262,0
11266,0
11267,0
11268,0
11269,0
11271,0
11274,0
11277,0
11278,0
11279,0
11280,0
11285,0
11286,0
11289,0
11291,0
11293,0
11294,0
11295,0
11296,0
11297,0
11298,0
11299,0
11300,0
11301,0
11302,0
11303,0
11304,0
11307,0
11309,0
11310,0
11311,0
11312,0
11314,0
11315,0
11316,0
11317,0
11318,0
11319,0
11320,0
11322,0
11324,0
11325,0
11327,0
11328,0
11329,0
11330,0
11332,0
11333,0
11334,0
11335,0
11336,0
11337,0
11338,0
11342,0
11345,0
11349,0
11352,0
11353,0
11355,0
11357,0
11358,0
11362,0
11368,0
11374,0
11383,0
11391,0
11392,0
11400,0
11401,0
11405,0
11410,0
11414,0
11415,0
11416,0
11424,0
11426,0
11429,0
11431,0
11434,0
11438,0
11440,0
11442,0
11443,0
11447,0
11449,0
11450,0
11452,0
11454,0
11457,0
11459,0
11460,0
11466,0
11467,0
11469,0
11471,0
11475,0
11479,0
11481,0
11486,0
11487,0
11491,0
11492,0
11493,0
11494,0
11496,0
11498,0
11499,0
11502,0
11504,0
11505,0
11509,0
11510,0
11513,0
11517,0
11518,0
11521,0
11526,0
11527,0
11532,0
11534,0
11535,0
11536,0
11540,0
11541,0
11542,0
11545,0
11550,0
11551,0
11552,0
11554,0
11555,0
11556,0
11559,0
11561,0
11563,0
11564,0
11566,0
11567,0
11571,0
11575,0
11576,0
11578,0
11582,0
11585,0
11592,0
11595,0
11598,0
11601,0
11602,0
11605,0
11609,0
11610,0
11611,0
11612,0
11619,0
11623,0
11624,0
11628,0
11629,0
11632,0
11639,0
11640,0
11641,0
11642,0
11644,0
11645,0
11646,0
11647,0
11648,0
11651,0
11652,0
11653,0
11655,0
11657,0
11658,0
11659,0
11662,0
11664,0
11665,0
11666,0
11667,0
11669,0
11672,0
11673,0
11675,0
11677,0
11682,0
11683,0
11685,0
11686,0
11687,0
11690,0
11692,0
11697,0
11700,0
11703,0
11704,0
11707,0
11712,0
11714,0
11717,0
11718,0
11719,0
11720,0
11721,0
11724,0
11725,0
11726,0
11727,0
11729,0
11732,0
11735,0
11736,0
11737,0
11738,0
11740,0
11741,0
11742,0
11745,0
11746,0
11747,0
11751,0
11754,0
11755,0
11760,0
11762,0
11763,0
11766,0
11768,0
11770,0
11771,0
11772,0
11773,0
11775,0
11777,0
11778,0
11782,0
11784,0
11785,0
11787,0
11788,0
11792,0
11794,0
11795,0
11796,0
11799,0
11801,0
11803,0
11804,0
11805,0
11806,0
11808,0
11809,0
11810,0
11811,0
11813,0
11816,0
11818,0
11820,0
11821,0
11822,0
11823,0
11825,0
11826,0
11828,0
11829,0
11830,0
11831,0
11834,0
11835,0
11838,0
11839,0
11840,0
11841,0
11843,0
11844,0
11847,0
11851,0
11853,0
11854,0
11855,0
11858,0
11860,0
11862,0
11865,0
11868,0
11869,0
11870,0
11872,0
11873,0
11875,0
11876,0
11877,0
11878,0
11880,0
11882,0
11883,0
11885,0
11886,0
11887,0
11888,0
11889,0
11892,0
11893,0
11895,0
11896,0
11898,0
11899,0
11901,0
11902,0
11904,0
11905,0
11906,0
11907,0
11908,0
11909,0
11911,0
11912,0
11913,0
11914,0
11915,0
11917,0
11918,0
11920,0
11921,0
11922,0
11924,0
11926,0
11932,0
11933,0
11934,0
11935,0
11936,0
11939,0
11940,0
11941,0
11942,0
11943,0
11949,0
11950,0
11951,0
11953,0
11954,0
11958,0
11961,0
11962,0
11964,0
11967,0
11969,0
11970,0
11974,0
11979,0
11981,0
11982,0
11986,0
11988,0
11989,0
11991,0
11993,0
11994,0
11996,0
11997,0
11998,0
12000,0
12001,0
12003,0
12004,0
12005,0
12007,0
12008,0
12010,0
12011,0
12013,0
12014,0
12015,0
12016,0
12019,0
12020,0
12023,0
12025,0
12027,0
12028,0
12029,0
12031,0
12035,0
12036,0
12037,0
12041,0
12042,0
12043,0
12044,0
12045,0
12046,0
12047,0
12048,0
12050,0
12053,0
12056,0
12057,0
12059,0
12061,0
12063,0
12065,0
12067,0
12069,0
12071,0
12072,0
12074,0
12075,0
12076,0
12077,0
12079,0
12080,0
12081,0
12082,0
12083,0
12084,0
12086,0
12087,0
12088,0
12090,0
12092,0
12093,0
12094,0
12095,0
12096,0
12097,0
12098,0
12099,0
12100,0
12102,0
12103,0
12104,0
12107,0
12108,0
12111,0
12113,0
12119,0
12120,0
12124,0
12125,0
12126,0
12127,0
12128,0
12130,0
12131,0
12133,0
12134,0
12135,0
12136,0
12137,0
12138,0
12139,0
12140,0
12142,0
12143,0
12146,0
