star,"C,S,Score Values"
12780,14.5
13073,59.5
14201,59.5
14202,59.5
14596,59.5
19749,43.5
19750,26.0
19759,59.5
19761,20.5
19775,59.5
19782,59.5
19789,59.5
19792,59.5
19800,59.5
19805,59.5
19806,59.5
19810,54.5
19819,11.5
19827,59.5
19832,31.0
19834,59.5
19839,59.5
19841,26.5
19845,16.5
19849,59.5
19853,59.5
19855,59.5
19861,59.5
19866,59.5
19870,59.5
19877,21.0
19883,59.5
19884,56.5
19899,20.5
19902,6.0
19927,59.5
19938,5.0
19948,59.5
19951,21.0
19957,59.5
19976,11.5
19986,59.5
19988,8.5
20000,59.5
20016,51.0
20017,59.5
20024,56.0
20026,59.5
20030,59.5
20048,59.5
20053,22.0
20061,59.5
20064,39.0
20067,27.0
20073,59.5
20075,59.5
20093,59.5
20095,47.5
20097,46.5
20105,59.5
20124,59.5
20125,59.5
20126,11.0
20130,18.5
20141,59.5
20151,43.5
20154,59.5
20173,15.5
20175,59.5
20176,19.0
20179,22.0
20189,59.5
20215,17.5
20243,59.5
20253,57.5
20259,12.0
20262,59.5
20267,10.0
20285,21.5
20293,59.5
20301,59.5
20313,59.5
20327,45.5
20346,57.5
20347,48.0
20351,51.5
20362,59.5
20370,42.0
20373,10.5
20407,59.5
20426,59.5
20427,59.5
20526,59.5
20577,-15.0
20715,59.5
20755,59.5
20765,59.5
20771,59.5
20786,25.0
20788,59.5
20789,19.5
20797,59.5
20800,38.0
20801,26.0
20802,59.5
20806,53.0
20815,59.5
20820,59.5
20826,59.5
20834,59.5
20841,47.0
20846,51.0
20860,13.5
20865,59.5
20871,59.5
20872,19.0
20882,59.5
20896,59.5
20899,23.5
20902,23.0
20911,17.5
20913,59.5
20914,59.5
20925,59.5
20930,16.0
20940,59.5
20945,59.5
20950,35.0
20954,59.5
20962,59.5
20982,33.0
20983,55.5
20989,41.0
20994,59.5
21006,59.5
21012,59.5
21044,59.5
21048,57.5
21053,59.5
21055,59.5
21065,31.0
21067,59.5
21071,59.5
21072,59.5
21079,32.0
21080,59.5
21084,59.5
21090,11.5
21097,59.5
21124,59.5
21131,49.5
21144,59.5
21150,59.5
21154,59.5
21155,59.5
21157,59.5
21158,59.5
21177,46.5
21186,59.5
21201,26.5
21206,59.5
21209,28.0
21214,-15.0
21223,43.0
21224,36.5
21228,17.5
21235,11.5
21245,56.5
21258,59.5
21280,59.5
21284,59.5
21287,34.5
21297,59.5
21301,59.5
21302,59.5
21306,59.5
21316,26.5
21321,15.5
21324,59.5
21346,59.5
21347,56.0
21349,59.5
21356,59.5
21364,59.5
21367,59.5
21371,59.5
21378,59.5
21383,50.0
21397,59.5
21398,59.5
21400,57.0
21403,59.5
21417,59.5
21421,59.5
21424,59.5
21453,59.5
21455,59.5
21470,59.5
21475,14.5
21478,13.0
21484,59.5
21494,33.0
21495,15.0
21515,59.5
21516,54.0
21522,59.5
21524,59.5
21532,59.5
21538,59.5
21547,19.5
21561,36.5
21567,59.5
21573,59.5
21575,20.5
21596,59.5
21599,59.5
21614,57.5
21615,59.5
21629,52.0
21630,59.5
21637,59.0
21655,18.0
21657,55.0
21670,59.5
21673,59.5
21691,59.5
21693,59.5
21698,59.5
21725,59.5
21739,59.5
21742,59.5
21749,59.5
21751,59.5
21769,59.5
21776,59.5
21778,59.5
21780,59.5
21786,59.5
21787,59.5
21829,59.5
21834,35.0
21835,59.5
21836,59.5
21839,59.5
21846,59.5
21851,59.5
21857,46.0
21863,54.5
21877,17.5
21885,34.0
21898,59.5
21900,59.5
21905,25.5
21918,16.0
21919,25.0
21927,39.0
21946,59.5
21957,24.0
21963,59.5
21964,49.0
21965,59.5
21982,59.5
22005,18.0
22038,59.0
22043,59.5
22053,59.5
22057,27.5
22062,59.5
22070,59.5
22140,13.5
22145,45.5
22162,59.5
22178,59.5
22190,59.5
22194,45.5
22220,46.5
22231,11.0
22265,59.5
22295,59.5
22301,59.5
22356,59.5
22372,59.5
22377,44.5
22388,53.5
22391,35.0
22395,59.5
22402,59.5
22409,59.5
22423,59.5
22429,59.5
22474,48.5
22490,59.5
22522,17.5
22527,59.5
22531,59.5
22544,34.5
22552,59.5
22553,10.0
22585,22.5
22588,59.5
22687,4.5
22693,13.0
22695,59.5
22697,59.5
22702,13.5
22715,59.5
22720,55.5
