star,values
14205,59.5
14596,59.5
19749,-15.0
19759,-15.0
19777,59.5
19786,59.5
19792,59.5
19801,59.5
19812,-15.0
19813,59.5
19821,-12.5
19834,-9.5
19837,-10.0
19838,59.5
19853,-13.5
19856,-15.0
19864,59.5
19870,59.5
19874,-14.0
19877,-15.0
19878,36.5
19883,59.5
19899,59.5
19900,59.5
19909,59.5
19913,-15.0
19914,59.5
19920,-15.0
19924,-12.0
19926,59.5
19957,59.5
19961,59.5
19962,59.5
19969,59.5
19986,-11.0
19988,-12.5
20004,59.5
20010,59.5
20023,59.5
20024,59.5
20041,-15.0
20042,59.5
20045,59.5
20047,59.5
20048,59.5
20054,59.5
20055,-15.0
20066,-15.0
20071,59.5
20073,59.5
20082,59.5
20090,59.5
20093,59.5
20095,59.5
20096,-13.5
20099,-15.0
20104,-12.5
20105,59.5
20106,-15.0
20109,-12.0
20130,59.5
20131,59.5
20133,59.5
20146,-13.5
20147,59.5
20149,59.5
20151,-14.5
20165,-13.0
20169,59.5
20176,-13.5
20177,59.5
20193,-13.0
20224,-6.0
20238,-14.5
20253,59.5
20259,27.5
20261,59.5
20263,9.5
20269,59.5
20273,59.5
20284,59.5
20287,59.5
20293,59.5
20301,59.5
20341,37.5
20346,59.5
20347,-15.0
20359,59.5
20370,59.0
20382,59.5
20414,59.5
20425,-12.5
20438,59.5
20507,59.5
20568,59.5
20661,59.5
20755,59.5
20763,-9.0
20780,-12.5
20782,47.0
20784,-15.0
20791,59.5
20793,59.5
20796,59.5
20797,-15.0
20798,59.5
20802,-11.0
20806,59.5
20813,-15.0
20826,-11.0
20834,-12.5
20846,59.5
20860,-11.0
20869,-14.5
20871,59.5
20872,-12.0
20882,-12.0
20896,59.5
20897,59.5
20899,-15.0
20901,59.5
20902,-11.5
20904,59.5
20908,59.5
20913,-12.0
20922,-9.5
20927,59.5
20933,-9.5
20938,59.5
20940,-15.0
20945,59.5
20946,-15.0
20950,59.5
20962,-14.5
20970,-15.0
20971,59.5
20979,59.5
20982,59.5
20987,59.5
20991,59.5
20994,-15.0
21006,58.0
21012,59.5
21029,11.5
21044,59.5
21059,59.5
21071,59.5
21080,59.5
21081,59.5
21084,59.5
21090,26.5
21096,59.5
21097,59.5
21103,59.5
21124,59.5
21144,59.5
21150,59.5
21152,59.5
21165,59.5
21177,59.5
21200,59.5
21201,9.5
21204,-13.5
21213,-11.0
21214,-8.0
21221,33.5
21223,59.5
21226,-15.0
21228,-12.5
21233,59.5
21235,15.0
21260,59.5
21284,59.5
21297,59.5
21302,59.5
21306,59.5
21314,59.5
21316,-15.0
21318,59.5
21321,57.5
21324,59.5
21326,59.5
21347,59.5
21349,59.5
21356,59.5
21364,59.5
21366,59.5
21367,59.5
21378,59.5
21398,59.5
21399,59.5
21403,59.5
21404,59.5
21421,59.5
21424,59.5
21426,59.5
21444,59.5
21463,-15.0
21470,59.5
21478,-11.5
21480,59.5
21483,59.5
21495,29.5
21496,-7.0
21500,17.0
21503,59.5
21509,59.5
21522,-15.0
21524,-15.0
21539,59.5
21547,59.5
21552,49.0
21561,-10.5
21573,59.5
21596,59.5
21599,59.5
21614,59.5
21615,59.5
21618,-15.0
21629,-15.0
21657,59.5
21670,-15.0
21698,59.5
21700,-14.0
21739,59.5
21742,59.5
21748,59.5
21749,59.5
21751,59.5
21772,59.5
21778,59.5
21779,-15.0
21781,59.5
21829,59.5
21830,55.0
21834,59.5
21835,59.5
21836,59.5
21846,59.5
21885,59.5
21898,59.5
21899,59.5
21917,59.5
21918,36.5
21919,59.5
21936,59.5
21946,59.5
21963,59.5
21964,59.5
21965,59.5
21969,43.0
21982,59.5
22038,59.5
22051,59.5
22053,59.5
22057,59.5
22070,59.5
22104,-11.5
22118,59.5
22138,-15.0
22145,-11.0
22149,-15.0
22152,59.5
22162,59.5
22169,59.5
22174,59.5
22186,59.5
22190,59.5
22195,59.5
22205,41.5
22223,59.5
22231,-15.0
22238,-12.0
22270,-15.0
22278,59.5
22281,-12.5
22300,-15.0
22301,59.5
22304,59.5
22314,27.5
22319,59.5
22333,-13.0
22340,-15.0
22342,-10.0
22348,59.5
22388,59.5
22391,59.5
22393,59.5
22395,58.0
22402,59.5
22409,59.5
22423,59.5
22432,59.5
22434,19.5
22439,59.5
22443,59.5
22461,59.5
22468,59.5
22505,-15.0
22516,-14.5
22522,-12.0
22527,59.5
22544,-14.0
22552,59.5
22573,59.5
22575,59.5
22578,-15.0
22585,59.5
22647,59.5
22656,59.5
22673,59.5
22693,26.5
22699,59.5
22720,59.5
22733,9.0
22735,19.5
22741,59.5
22742,30.5
22751,23.5
22759,59.5
22771,59.5
22773,59.5
22807,59.5
22924,18.0
22965,59.5
22968,59.5
22979,59.5
22989,59.5
23005,-15.0
23043,59.5
23050,59.5
23060,23.5
23088,59.5
23117,59.5
23173,20.5
23174,59.5
23176,59.5
23181,-12.0
23196,21.0
23209,59.5
23216,59.5
23218,59.5
23234,-15.0
23240,59.5
23278,59.5
23280,18.0
23287,59.5
23313,59.5
23315,-15.0
23320,6.0
23345,59.5
23349,59.5
23404,59.5
23409,59.5
23424,-13.0
23441,-15.0
23443,12.5
23460,-15.0
23469,59.5
23472,59.5
23500,-11.5
23502,59.5
23503,-12.0
23506,20.0
23507,59.5
23518,-15.0
23520,59.5
23524,59.5
23535,-11.0
23550,39.0
23553,59.5
23565,59.5
23571,59.5
23577,59.5
23584,59.5
23599,-11.0
23613,-14.5
23615,59.5
23620,59.5
23640,59.5
23643,59.5
23647,59.5
23653,-15.0
23660,59.5
23666,-15.0
23711,59.5
23724,59.5
23729,59.5
23740,59.5
23745,-15.0
23753,59.5
23759,59.5
23764,-10.5
23766,59.5
23792,59.5
23804,59.5
23809,59.5
23818,-12.5
23822,-15.0
23832,59.5
23876,59.5
23902,59.5
23906,54.0
23914,59.5
23917,-15.0
23951,-13.5
23952,59.5
23958,-10.0
23970,59.5
23979,59.5
23989,59.5
24011,27.0
24012,57.0
24015,-15.0
24020,59.5
24021,-15.0
24025,59.5
24033,59.5
24041,59.5
24042,-13.5
24046,-13.0
24048,-11.5
24073,59.5
24076,59.5
24080,-11.5
24091,59.5
24096,59.5
24102,59.5
24105,59.5
24112,59.5
