star,"C,S,Score Values"
12780,0
13073,0
14201,0
14202,0
14596,0
19749,0
19750,0
19759,0
19761,0
19775,0
19782,0
19789,0
19792,0
19800,0
19805,0
19806,0
19810,0
19819,0
19827,0
19832,0
19834,0
19839,0
19841,0
19845,0
19849,0
19853,0
19855,0
19861,0
19866,0
19870,0
19877,0
19883,0
19884,0
19899,0
19902,0
19927,0
19938,0
19948,0
19951,0
19957,0
19976,0
19986,0
19988,0
20000,0
20016,0
20017,0
20024,0
20026,0
20030,0
20048,0
20053,0
20061,0
20064,0
20067,0
20073,0
20075,0
20093,0
20095,0
20097,0
20105,0
20124,0
20125,0
20126,0
20130,0
20141,0
20151,0
20154,0
20173,0
20175,0
20176,0
20179,0
20189,0
20215,0
20243,0
20253,0
20259,0
20262,0
20267,0
20285,0
20293,0
20301,0
20313,0
20327,0
20346,0
20347,0
20351,0
20362,0
20370,0
20373,0
20407,0
20426,0
20427,0
20526,0
20577,0
20715,0
20755,0
20765,0
20771,0
20786,0
20788,0
20789,0
20797,0
20800,0
20801,0
20802,0
20806,0
20815,0
20820,0
20826,0
20834,0
20841,0
20846,0
20860,0
20865,0
20871,0
20872,0
20882,0
20896,0
20899,0
20902,0
20911,0
20913,0
20914,0
20925,0
20930,0
20940,0
20945,0
20950,0
20954,0
20962,0
20982,0
20983,0
20989,0
20994,0
21006,0
21012,0
21044,0
21048,0
21053,0
21055,0
21065,0
21067,0
21071,0
21072,0
21079,0
21080,0
21084,0
21090,0
21097,0
21124,0
21131,0
21144,0
21150,0
21154,0
21155,0
21157,0
21158,0
21177,0
21186,0
21201,0
21206,0
21209,0
21214,0
21223,0
21224,0
21228,0
21235,0
21245,0
21258,0
21280,0
21284,0
21287,0
21297,0
21301,0
21302,0
21306,0
21316,0
21321,0
21324,0
21346,0
21347,0
21349,0
21356,0
21364,0
21367,0
21371,0
21378,0
21383,0
21397,0
21398,0
21400,0
21403,0
21417,0
21421,0
21424,0
21453,0
21455,0
21470,0
21475,0
21478,0
21484,0
21494,0
21495,0
21515,0
21516,0
21522,0
21524,0
21532,0
21538,0
21547,0
21561,0
21567,0
21573,0
21575,0
21596,0
21599,0
21614,0
21615,0
21629,0
21630,0
21637,0
21655,0
21657,0
21670,0
21673,0
21691,0
21693,0
21698,0
21725,0
21739,0
21742,0
21749,0
21751,0
21769,0
21776,0
21778,0
21780,0
21786,0
21787,0
21829,0
21834,0
21835,0
21836,0
21839,0
21846,0
21851,0
21857,0
21863,0
21877,0
21885,0
21898,0
21900,0
21905,0
21918,0
21919,0
21927,0
21946,0
21957,0
21963,0
21964,0
21965,0
21982,0
22005,0
22038,0
22043,0
22053,0
22057,0
22062,0
22070,0
22140,0
22145,0
22162,0
22178,0
22190,0
22194,0
22220,0
22231,0
22265,0
22295,0
22301,0
22356,0
22372,0
22377,0
22388,0
22391,0
22395,0
22402,0
22409,0
22423,0
22429,0
22474,0
22490,0
22522,0
22527,0
22531,0
22544,0
22552,0
22553,0
22585,0
22588,0
22687,0
22693,0
22695,0
22697,0
22702,0
22715,0
22720,0
22724,0
22733,0
22737,0
22739,0
22751,0
22761,0
22762,0
22771,0
22773,0
22775,0
22777,0
22797,0
22807,0
22815,0
22831,0
22870,0
22924,0
22925,0
22932,0
22965,0
22976,0
22977,0
22983,0
22989,0
23012,0
23034,0
23037,0
23043,0
23079,0
23116,0
23177,0
23200,0
23209,0
23210,0
23219,0
23222,0
23234,0
23240,0
23285,0
23301,0
23311,0
23337,0
23411,0
23421,0
23424,0
23427,0
23452,0
23459,0
23460,0
23462,0
23468,0
23497,0
23520,0
23522,0
23535,0
23537,0
23542,0
23550,0
23553,0
23558,0
23571,0
23599,0
23601,0
23602,0
23612,0
23615,0
23620,0
23643,0
23660,0
23662,0
23666,0
23685,0
23699,0
23701,0
23711,0
23724,0
23762,0
23766,0
23792,0
23804,0
23805,0
23817,0
23818,0
23822,0
23832,0
23838,0
23873,0
23880,0
23914,0
23917,0
23931,0
23952,0
23970,0
23971,0
23973,0
23975,0
23976,0
23979,0
23988,0
23989,0
23992,0
24003,0
24015,0
24020,0
24021,0
24025,0
24026,0
24039,0
24041,0
24043,0
24052,0
24061,0
24062,0
24073,0
24076,0
24091,0
24096,0
24119,0
24134,0
24135,0
24140,0
24147,0
24154,0
24158,0
24169,0
24173,0
24176,0
24186,0
24223,0
24231,0
24262,0
24287,0
24289,0
24317,0
24344,0
24366,0
24375,0
24386,0
24393,0
24397,0
24405,0
24411,0
24431,0
24432,0
24435,0
24438,0
24451,0
24467,0
24468,0
24470,0
24471,0
24476,0
24482,0
24484,0
24485,0
24490,0
24501,0
24526,0
24539,0
24541,0
24547,0
24558,0
24560,0
24570,0
24571,0
24577,0
24602,0
24605,0
24607,0
24618,0
24650,0
24658,0
24692,0
24723,0
24725,0
24734,0
24761,0
24771,0
24775,0
24825,0
24848,0
24849,0
24882,0
24883,0
24884,0
24888,0
24892,0
24913,0
24919,0
24930,0
24936,0
24937,0
24952,0
24955,0
24965,0
24982,0
24983,0
24989,0
25011,0
25016,0
25028,0
25030,0
