star,values
14205,4.0
14596,44.5
19749,-15.0
19759,8.0
19777,1.5
19786,5.0
19792,14.5
19801,4.5
19812,2.0
19813,-13.5
19821,-2.0
19834,-2.5
19837,-2.0
19838,2.5
19853,-8.0
19856,1.0
19864,3.5
19870,-4.5
19874,-2.0
19877,-2.5
19878,2.0
19883,3.5
19899,1.5
19900,3.5
19909,0.5
19913,10.5
19914,3.5
19920,-15.0
19924,-3.0
19926,3.0
19957,19.0
19961,-5.0
19962,2.5
19969,2.5
19986,-15.0
19988,-2.0
20004,10.0
20010,59.5
20023,4.0
20024,1.5
20041,3.5
20042,4.0
20045,1.5
20047,5.0
20048,6.0
20054,18.5
20055,-2.5
20066,3.5
20071,4.0
20073,14.5
20082,33.0
20090,3.0
20093,37.0
20095,1.5
20096,-4.5
20099,-2.5
20104,-2.0
20105,15.0
20106,-3.0
20109,-2.5
20130,1.0
20131,2.5
20133,6.0
20146,-11.0
20147,5.5
20149,1.5
20151,-15.0
20165,-2.0
20169,42.5
20176,-2.0
20177,2.5
20193,4.0
20224,-1.5
20238,-2.5
20253,36.0
20259,0.5
20261,8.5
20263,0.5
20269,-3.0
20273,8.0
20284,-8.5
20287,53.0
20293,59.5
20301,9.0
20341,0.5
20346,9.0
20347,9.0
20359,1.0
20370,11.0
20382,3.5
20414,49.0
20425,4.0
20438,29.5
20507,5.0
20568,14.0
20661,17.0
20755,6.5
20763,-2.0
20780,-2.0
20782,1.0
20784,-9.5
20791,8.0
20793,59.5
20796,1.0
20797,9.5
20798,3.5
20802,-5.5
20806,4.5
20813,2.5
20826,-2.0
20834,-2.5
20846,2.0
20860,-2.0
20869,-3.5
20871,24.5
20872,-2.0
20882,-12.0
20896,-15.0
20897,2.0
20899,-7.0
20901,7.5
20902,-2.0
20904,20.0
20908,7.0
20913,-2.5
20922,-2.0
20927,3.0
20933,-2.5
20938,9.5
20940,4.5
20945,2.5
20946,-3.0
20950,6.5
20962,1.0
20970,1.5
20971,3.5
20979,3.5
20982,3.5
20987,44.5
20991,-11.5
20994,4.5
21006,-11.0
21012,22.0
21029,0.0
21044,20.0
21059,19.5
21071,-15.0
21080,25.0
21081,59.5
21084,-15.0
21090,0.5
21096,59.0
21097,20.5
21103,2.5
21124,35.0
21144,41.0
21150,6.5
21152,8.5
21165,2.0
21177,-3.5
21200,2.5
21201,0.0
21204,-2.0
21213,-3.0
21214,-10.0
21221,0.0
21223,55.0
21226,-15.0
21228,-2.0
21233,59.5
21235,0.0
21260,35.0
21284,14.0
21297,35.5
21302,21.5
21306,9.0
21314,22.0
21316,-3.5
21318,26.0
21321,0.5
21324,8.0
21326,58.0
21347,1.0
21349,59.5
21356,59.5
21364,10.0
21366,2.5
21367,-15.0
21378,28.0
21398,8.0
21399,18.0
21403,9.5
21404,2.0
21421,23.0
21424,17.5
21426,3.0
21444,37.5
21463,9.0
21470,15.5
21478,-2.0
21480,40.0
21483,23.0
21495,0.5
21496,-1.5
21500,0.0
21503,3.5
21509,7.5
21522,-15.0
21524,11.0
21539,1.5
21547,6.0
21552,29.5
21561,-2.0
21573,-15.0
21596,59.5
21599,32.5
21614,59.5
21615,37.0
21618,-2.0
21629,-4.0
21657,12.0
21670,8.0
21698,-15.0
21700,-2.0
21739,33.0
21742,53.5
21748,9.0
21749,4.5
21751,4.5
21772,23.0
21778,16.5
21779,-3.0
21781,59.5
21829,13.0
21830,-15.0
21834,39.0
21835,7.0
21836,15.5
21846,59.5
21885,9.0
21898,18.0
21899,32.5
21917,2.0
21918,0.0
21919,2.5
21936,13.5
21946,9.0
21963,9.5
21964,3.0
21965,11.5
21969,6.5
21982,5.0
22038,13.0
22051,5.0
22053,21.5
22057,2.5
22070,12.0
22104,5.5
22118,10.5
22138,3.5
22145,-2.5
22149,-5.0
22152,59.5
22162,40.0
22169,2.0
22174,5.0
22186,1.0
22190,44.0
22195,15.5
22205,0.5
22223,8.0
22231,-2.5
22238,-14.5
22270,3.5
22278,1.5
22281,-3.5
22300,59.5
22301,13.5
22304,1.0
22314,1.0
22319,1.5
22333,-2.5
22340,2.0
22342,-2.0
22348,25.5
22388,-15.0
22391,0.5
22393,48.5
22395,35.0
22402,-15.0
22409,6.5
22423,14.0
22432,4.0
22434,1.0
22439,20.5
22443,15.0
22461,30.0
22468,13.0
22505,-2.5
22516,-3.0
22522,-2.0
22527,36.5
22544,-3.5
22552,25.5
22573,-4.0
22575,18.0
22578,-15.0
22585,15.5
22647,10.0
22656,42.5
22673,2.5
22693,0.5
22699,10.0
22720,22.0
22733,-0.5
22735,-12.5
22741,59.5
22742,0.0
22751,0.5
22759,19.5
22771,50.0
22773,8.5
22807,59.5
22924,2.5
22965,7.5
22968,19.5
22979,0.5
22989,4.5
23005,-2.5
23043,24.0
23050,-14.5
23060,0.5
23088,37.0
23117,8.5
23173,0.5
23174,5.0
23176,2.0
23181,-15.0
23196,0.5
23209,14.0
23216,-15.0
23218,6.0
23234,3.0
23240,7.0
23278,2.0
23280,0.5
23287,20.0
23313,59.5
23315,-3.5
23320,0.0
23345,33.0
23349,3.0
23404,14.0
23409,8.0
23424,-15.0
23441,5.5
23443,0.5
23460,2.0
23469,26.0
23472,-15.0
23500,-2.5
23502,29.0
23503,-2.0
23506,41.0
23507,19.0
23518,3.5
23520,53.0
23524,45.0
23535,-3.0
23550,1.5
23553,31.5
23565,-15.0
23571,20.5
23577,0.5
23584,9.0
23599,-3.0
23613,2.0
23615,7.5
23620,5.0
23640,7.5
23643,47.5
23647,1.5
23653,-3.0
23660,48.0
23666,-2.5
23711,3.5
23724,40.5
23729,26.5
23740,11.5
23745,-3.0
23753,-15.0
23759,2.5
23764,-2.0
23766,-15.0
23792,10.5
23804,59.5
23809,9.5
23818,-11.5
23822,2.5
23832,6.5
23876,3.5
23902,4.5
23906,2.5
23914,-3.0
23917,-3.0
23951,7.5
23952,14.5
23958,-2.0
23970,32.0
23979,20.0
23989,2.0
24011,0.5
24012,0.5
24015,7.5
24020,-4.0
24021,-11.5
24025,1.5
24033,2.5
24041,4.5
24042,-2.0
24046,-2.0
24048,-3.0
24073,22.0
24076,0.5
24080,-2.0
24091,1.0
24096,10.0
24102,0.5
24105,0.5
24112,5.0
24118,8.5
24119,-15.0
24134,-7.0
24142,1.5
24153,4.5
24178,-10.0
24204,1.0
24226,13.0
24229,-15.0
24247,0.0
24254,-3.0
24289,-2.5
24294,-15.0
24317,-13.5
24321,-15.0
24338,10.5
24344,49.5
24379,-3.0
24386,-3.0
24389,7.5
24397,3.0
24407,-0.5
24417,19.0
24421,0.0
24435,9.0
24438,8.0
24451,30.5
24452,13.5
24454,11.5
24459,45.0
24460,24.0
24467,12.0
24471,35.0
24474,51.0
24482,8.0
24484,13.0
24495,-14.5
24500,1.0
24505,4.5
24530,-15.0
24534,-2.0
24540,-2.0
24544,1.5
24547,8.5
24551,3.0
24569,-14.5
24577,2.0
24592,32.5
24602,39.5
24618,15.0
24621,21.0
24623,12.5
24644,3.0
24660,32.0
24664,2.5
24671,1.5
24680,-2.0
24692,8.0
24705,-2.0
24710,15.5
24725,3.5
24731,-15.0
24733,-11.0
24734,45.0
24754,-15.0
24761,6.0
24770,-5.5
24772,2.0
24776,-14.0
24784,-15.0
24792,2.0
24807,-15.0
24845,15.5
24848,6.0
24858,45.5
24882,59.5
24892,14.0
24904,56.0
24912,6.0
24915,26.5
24938,2.0
24946,14.5
24956,0.5
24959,-2.0
24965,-15.0
24977,0.5
24984,1.0
24992,5.5
24996,-6.0
25028,-4.0
25036,-2.5
