star,"C,S,Score Values"
12780,1.5
13073,-15.0
14201,59.5
14202,59.5
14596,-12.5
19749,59.5
19750,3.0
19759,23.0
19761,2.0
19775,8.0
19782,-15.0
19789,44.0
19792,38.0
19800,5.0
19805,11.5
19806,11.5
19810,24.0
19819,0.0
19827,31.0
19832,8.5
19834,-4.5
19839,11.5
19841,2.5
19845,3.5
19849,6.0
19853,-11.5
19855,27.0
19861,5.5
19866,-14.5
19870,59.5
19877,0.5
19883,4.5
19884,1.5
19899,1.0
19902,0.0
19927,-6.5
19938,-0.5
19948,59.5
19951,1.0
19957,16.0
19976,1.5
19986,14.5
19988,1.0
20000,59.5
20016,59.5
20017,59.5
20024,2.5
20026,24.0
20030,1.5
20048,59.5
20053,2.0
20061,16.0
20064,2.5
20067,7.5
20073,59.5
20075,59.5
20093,14.0
20095,2.0
20097,-15.0
20105,26.0
20124,16.5
20125,59.5
20126,1.5
20130,1.0
20141,-15.0
20151,8.5
20154,5.5
20173,4.0
20175,3.0
20176,5.0
20179,1.5
20189,14.0
20215,1.0
20243,59.5
20253,8.0
20259,0.5
20262,4.0
20267,0.0
20285,2.0
20293,13.5
20301,17.0
20313,59.5
20327,7.5
20346,34.0
20347,5.0
20351,5.0
20362,31.0
20370,4.0
20373,-0.5
20407,-7.5
20426,9.5
20427,18.5
20526,1.5
20577,-14.5
20715,1.0
20755,13.0
20765,10.5
20771,-10.5
20786,2.5
20788,59.5
20789,2.0
20797,59.5
20800,3.5
20801,7.0
20802,14.0
20806,9.0
20815,2.5
20820,12.0
20826,-9.5
20834,-15.0
20841,3.5
20846,59.5
20860,1.5
20865,50.5
20871,19.5
20872,3.0
20882,59.5
20896,9.5
20899,4.0
20902,2.5
20911,1.0
20913,59.5
20914,2.0
20925,11.5
20930,4.5
20940,28.0
20945,5.0
20950,2.0
20954,-7.5
20962,38.0
20982,2.0
20983,3.0
20989,3.0
20994,-15.0
21006,-12.5
21012,59.5
21044,40.0
21048,19.0
21053,32.5
21055,14.0
21065,2.5
21067,22.5
21071,-15.0
21072,59.5
21079,30.5
21080,13.0
21084,59.5
21090,0.5
21097,43.5
21124,25.0
21131,3.0
21144,59.5
21150,5.5
21154,-15.0
21155,49.0
21157,-15.0
21158,18.0
21177,11.5
21186,6.5
21201,0.5
21206,59.5
21209,59.5
21214,-4.5
21223,35.5
21224,6.0
21228,5.0
21235,0.0
21245,3.0
21258,1.5
21280,24.0
21284,59.5
21287,1.5
21297,-15.0
21301,6.0
