star,Slope
12780,-0.0005999999999995597
13073,-0.0003999999999995596
14201,-0.0005999999999995597
14202,-0.0007999999999995597
14596,-0.0006999999999995597
19749,-0.0006999999999995597
19750,-0.0007999999999995597
19759,-0.0005999999999995597
19761,4.4037581740929976e-16
19775,-0.0004999999999995596
19782,-0.0003999999999995596
19789,-0.0008999999999995598
19792,-0.0005999999999995597
19800,-0.0006999999999995597
19805,-0.0006999999999995597
19806,-0.0003999999999995596
19810,-0.0007999999999995597
19819,0.0003000000000004404
19827,-0.0006999999999995597
19832,-0.0008999999999995598
19834,-0.00119999999999956
19839,-0.0006999999999995597
19841,-0.0003999999999995596
19845,-0.00159999999999956
19849,-0.0009999999999995598
19853,-0.0006999999999995597
19855,-0.0006999999999995597
19861,-9.999999999955963e-05
19866,-0.00119999999999956
19870,-0.0007999999999995597
19877,-0.00139999999999956
19883,-0.0005999999999995597
19884,-0.0004999999999995596
19899,-0.0003999999999995596
19902,-0.00219999999999956
19927,-0.0008999999999995598
19938,-0.0003999999999995596
19948,-0.0005999999999995597
19951,-0.0019999999999995603
19957,-0.0006999999999995597
19976,-0.002699999999999559
19986,-0.0009999999999995598
19988,-0.00209999999999956
20000,-0.00149999999999956
20016,-0.00129999999999956
20017,-0.0003999999999995596
20024,-0.0003999999999995596
20026,-0.0008999999999995598
20030,-0.0003999999999995596
20048,-0.0002999999999995596
20053,0.00020000000000044039
20061,-0.0005999999999995597
20064,-0.0008999999999995598
20067,-0.00119999999999956
20073,-0.0008999999999995598
20075,-0.0006999999999995597
20093,-0.0005999999999995597
20095,-0.0002999999999995596
20097,-0.00149999999999956
20105,-0.0005999999999995597
20124,-0.00019999999999955963
20125,-0.0003999999999995596
20126,-0.0005999999999995597
20130,-0.0004999999999995596
20141,-0.0002999999999995596
20151,-0.0009999999999995598
20154,-0.0002999999999995596
20173,-0.00119999999999956
20175,-9.999999999955963e-05
20176,-0.0016999999999995602
20179,-0.0003999999999995596
20189,-0.0005999999999995597
20215,-0.0003999999999995596
20243,-0.0006999999999995597
20253,-0.0006999999999995597
20259,4.4037581740929976e-16
20262,-0.0004999999999995596
20267,4.4037581740929976e-16
20285,-0.00159999999999956
20293,-0.0002999999999995596
20301,-0.0004999999999995596
20313,-0.0003999999999995596
20327,-0.0007999999999995597
20346,-0.0006999999999995597
20347,-0.0004999999999995596
20351,-0.00019999999999955963
20362,-0.0010999999999995599
20370,-0.0002999999999995596
20373,0.00020000000000044039
20407,-0.0005999999999995597
20426,-0.0007999999999995597
20427,-0.0007999999999995597
20526,-0.0004999999999995596
20577,-0.0008999999999995598
20715,-0.0002999999999995596
20755,-0.0006999999999995597
20765,-0.0008999999999995598
20771,-0.0006999999999995597
20786,-0.00019999999999955963
20788,-0.0008999999999995598
20789,-0.0003999999999995596
20797,-0.0005999999999995597
20800,-0.0008999999999995598
20801,-0.0016999999999995602
20802,-0.0010999999999995599
20806,-0.0006999999999995597
20815,-0.0004999999999995596
20820,-0.0007999999999995597
20826,-0.002699999999999559
20834,-0.0016999999999995602
20841,-0.0004999999999995596
20846,-0.0002999999999995596
20860,-0.0017999999999995602
20865,-0.0005999999999995597
20871,-0.0006999999999995597
20872,-0.0023999999999995596
20882,-0.0006999999999995597
20896,-0.0004999999999995596
20899,-0.0010999999999995599
20902,-0.0022999999999995598
20911,-9.999999999955963e-05
20913,-0.00159999999999956
20914,-0.0003999999999995596
20925,-0.0003999999999995596
20930,-0.00209999999999956
20940,-0.0003999999999995596
20945,-0.0005999999999995597
20950,-9.999999999955963e-05
20954,-0.0002999999999995596
20962,-0.0004999999999995596
20982,-0.0005999999999995597
20983,-0.0004999999999995596
20989,-0.0005999999999995597
20994,-0.0005999999999995597
21006,-0.0003999999999995596
21012,-0.0007999999999995597
21044,-0.0006999999999995597
21048,-0.0005999999999995597
21053,-0.0008999999999995598
21055,-0.0004999999999995596
21065,-0.0003999999999995596
21067,-0.0006999999999995597
21071,-0.0006999999999995597
21072,-0.0007999999999995597
21079,-0.0010999999999995599
21080,-0.0006999999999995597
21084,-0.0004999999999995596
21090,0.00020000000000044039
21097,-0.0006999999999995597
21124,-0.0006999999999995597
21131,-0.0002999999999995596
21144,-0.0003999999999995596
21150,-0.0003999999999995596
21154,-0.0002999999999995596
21155,-0.0003999999999995596
21157,-0.0004999999999995596
21158,-0.0006999999999995597
21177,-0.0006999999999995597
21186,-0.0010999999999995599
21201,-9.999999999955963e-05
21206,-0.0006999999999995597
21209,-0.00149999999999956
21214,-0.0010999999999995599
21223,-0.0003999999999995596
21224,-0.0019999999999995603
21228,-0.00159999999999956
21235,0.0003000000000004404
21245,-0.0003999999999995596
21258,-0.0009999999999995598
21280,-0.0006999999999995597
21284,-0.0004999999999995596
21287,-0.0005999999999995597
21297,-0.0006999999999995597
21301,-0.0005999999999995597
21302,-0.0006999999999995597
21306,-0.0004999999999995596
21316,-0.00129999999999956
21321,-0.00019999999999955963
21324,-0.0007999999999995597
21346,-9.999999999955963e-05
21347,4.4037581740929976e-16
21349,-0.0003999999999995596
21356,-0.0004999999999995596
21364,-0.0006999999999995597
21367,-0.0007999999999995597
21371,-0.0004999999999995596
21378,-0.0006999999999995597
21383,-0.0009999999999995598
21397,-0.0005999999999995597
21398,-0.0006999999999995597
21400,-0.0006999999999995597
21403,-0.0006999999999995597
21417,-0.0006999999999995597
21421,-0.0003999999999995596
21424,-0.0007999999999995597
21453,-0.0008999999999995598
21455,-0.00019999999999955963
21470,-0.0002999999999995596
21475,-9.999999999955963e-05
21478,-0.00209999999999956
21484,-0.0006999999999995597
