star,values
12050,0.5
13057,1.5
13417,4.0
13552,9.0
13694,0.0
13786,1.5
13892,1.0
14168,10.5
14201,59.5
14202,59.5
14218,21.0
14596,-12.0
14808,-15.0
19749,59.5
19754,3.5
19762,59.5
19763,14.0
19772,12.0
19773,33.5
19774,15.5
19777,3.0
19779,11.5
19781,7.5
19786,59.5
19789,43.0
19792,40.0
19800,5.0
19801,12.5
19805,12.0
19806,12.0
19808,19.5
19809,-15.0
19811,59.5
19813,3.5
19819,0.0
19821,36.0
19824,1.0
19834,-4.5
19837,0.5
19839,11.5
19844,6.0
19845,3.5
19847,12.5
19853,-12.0
19854,-15.0
19856,42.0
19860,-7.0
19861,5.5
19862,2.5
19865,-11.5
19866,-14.5
19870,59.5
19872,3.5
19877,0.5
19882,0.5
19883,4.5
19884,1.5
19886,59.5
19895,1.5
19898,2.0
19899,1.0
19902,0.0
19910,1.0
19913,14.0
19914,4.5
19921,0.0
19924,33.5
19926,1.5
19927,-6.5
19931,0.0
19936,-9.5
19937,1.5
19940,2.5
19949,2.0
19961,37.0
19973,59.5
19976,1.5
19986,14.0
19988,1.0
19990,4.5
20000,59.5
20004,28.0
20006,6.5
20010,59.5
20016,59.5
20017,59.5
20024,2.5
20030,1.5
20041,51.5
20042,2.5
20043,59.5
20045,4.0
20047,8.0
20048,59.5
20054,28.0
20055,4.5
20061,16.5
20064,2.5
20066,7.5
20071,2.5
20075,59.5
20076,-15.0
20089,2.0
20090,5.5
20093,14.5
20094,59.5
20095,2.0
20096,-13.0
20099,40.5
20104,3.0
20106,59.5
20108,11.5
20109,-15.0
20116,59.5
20124,17.0
20126,1.5
20130,1.0
20134,9.5
20141,-15.0
20144,59.5
20146,25.5
20147,37.0
20149,2.5
20158,28.5
20165,2.0
20169,55.0
20170,2.5
20175,2.0
20176,5.0
20177,8.0
20179,1.5
20180,3.5
20189,14.5
20206,-14.0
20211,5.0
20215,1.0
20243,59.5
20256,1.5
20257,14.0
20258,1.0
20259,0.5
20262,4.0
20263,0.0
20269,-12.5
20273,2.5
20276,13.0
20283,4.0
20285,2.0
20293,12.0
20294,19.0
20301,16.5
20313,59.5
20325,2.0
20327,7.5
20331,3.5
20341,1.0
20347,5.0
20349,8.0
20351,5.0
20353,-4.5
20355,1.0
20358,4.5
20382,11.5
20384,0.5
20388,6.5
20392,-13.0
20407,-7.5
20408,59.5
20415,-15.0
20425,59.5
20426,10.5
20427,18.5
20507,-15.0
20545,-13.5
20546,-15.0
20577,-14.5
20580,-3.5
20587,-14.5
20596,4.5
20622,0.5
20649,0.0
20755,13.0
20759,24.5
20765,10.5
20777,39.5
20780,14.0
20788,59.0
20793,23.0
20796,1.0
20797,59.5
20800,3.0
20801,7.0
20806,6.5
20814,12.5
20820,12.5
20821,0.5
20826,-9.5
20831,0.5
20834,-15.0
20839,23.5
20841,3.5
20846,59.5
20847,59.5
20859,4.0
20860,1.5
20862,1.0
20865,50.0
20869,-14.0
20875,3.5
20882,59.5
20885,3.0
20893,3.5
20899,4.0
20902,2.5
20906,1.0
20908,8.0
20910,59.5
20913,59.5
20915,5.5
20925,11.5
20927,8.5
20930,4.5
