star,values
12050,0.00010000000000044038
13057,-9.999999999955963e-05
13417,-0.0004999999999995596
13552,-0.0006999999999995597
13694,0.00040000000000044037
13786,-0.0003999999999995596
13892,-0.0009999999999995598
14168,-0.0007999999999995597
14201,-0.0005999999999995597
14202,-0.0007999999999995597
14218,-0.0002999999999995596
14596,-0.0006999999999995597
14808,-0.0005999999999995597
19749,-0.0006999999999995597
19754,-0.00019999999999955963
19762,-0.0007999999999995597
19763,-0.0009999999999995598
19772,-0.0007999999999995597
19773,-0.00119999999999956
19774,0.00010000000000044038
19777,-0.0003999999999995596
19779,-0.0008999999999995598
19781,-9.999999999955963e-05
19786,-0.0004999999999995596
19789,-0.0008999999999995598
19792,-0.0005999999999995597
19800,-0.0006999999999995597
19801,-0.0003999999999995596
19805,-0.0006999999999995597
19806,-0.0003999999999995596
19808,4.4037581740929976e-16
19809,-0.0009999999999995598
19811,-0.0007999999999995597
19813,-0.0006999999999995597
19819,0.0003000000000004404
19821,-0.0018999999999995602
19824,-0.0003999999999995596
19834,-0.00119999999999956
19837,-0.0019999999999995603
19839,-0.0006999999999995597
19844,-0.0002999999999995596
19845,-0.00159999999999956
19847,-0.00019999999999955963
19853,-0.0006999999999995597
19854,-0.0009999999999995598
19856,4.4037581740929976e-16
19860,-0.0005999999999995597
19861,-9.999999999955963e-05
19862,-0.0008999999999995598
19865,-0.0016999999999995602
19866,-0.00119999999999956
19870,-0.0007999999999995597
19872,-0.0003999999999995596
19877,-0.00139999999999956
19882,-0.0034999999999995577
19883,-0.0005999999999995597
19884,-0.0004999999999995596
19886,-0.0002999999999995596
19895,-0.0003999999999995596
19898,-0.0007999999999995597
19899,-0.0003999999999995596
19902,-0.00219999999999956
19910,-0.0002999999999995596
19913,-0.0004999999999995596
19914,-0.0004999999999995596
19921,-0.0018999999999995602
19924,-0.00139999999999956
19926,-0.0004999999999995596
19927,-0.0008999999999995598
19931,-0.002699999999999559
19936,-0.0008999999999995598
19937,-0.00019999999999955963
19940,-0.0004999999999995596
19949,-0.0005999999999995597
19961,-0.00119999999999956
19973,-0.0008999999999995598
19976,-0.002699999999999559
19986,-0.0009999999999995598
19988,-0.00209999999999956
19990,-0.0002999999999995596
20000,-0.00149999999999956
20004,-0.0007999999999995597
20006,-0.00019999999999955963
20010,-0.0007999999999995597
20016,-0.00129999999999956
20017,-0.0003999999999995596
20024,-0.0003999999999995596
20030,-0.0003999999999995596
20041,-0.0006999999999995597
20042,-0.0004999999999995596
20043,-0.00019999999999955963
20045,-0.0003999999999995596
20047,-0.0004999999999995596
20048,-0.0002999999999995596
20054,-0.00129999999999956
20055,-0.00139999999999956
20061,-0.0005999999999995597
20064,-0.0008999999999995598
20066,-0.0005999999999995597
20071,-0.0004999999999995596
20075,-0.0006999999999995597
20076,0.00010000000000044038
20089,-0.0004999999999995596
20090,-0.0003999999999995596
20093,-0.0005999999999995597
20094,-0.0002999999999995596
20095,-0.0002999999999995596
20096,-0.0007999999999995597
20099,-0.00129999999999956
20104,-0.00209999999999956
20106,-0.0009999999999995598
20108,-0.0006999999999995597
20109,-0.00159999999999956
20116,-0.0003999999999995596
20124,-0.00019999999999955963
20126,-0.0005999999999995597
20130,-0.0004999999999995596
20134,-0.0010999999999995599
20141,-0.0002999999999995596
20144,-0.0008999999999995598
20146,-0.0009999999999995598
20147,-0.0004999999999995596
20149,-9.999999999955963e-05
20158,-0.0007999999999995597
20165,-0.00129999999999956
20169,-0.0002999999999995596
20170,-0.0008999999999995598
20175,-9.999999999955963e-05
20176,-0.0016999999999995602
20177,-9.999999999955963e-05
20179,-0.0003999999999995596
20180,-0.0005999999999995597
20189,-0.0005999999999995597
20206,-0.0003999999999995596
20211,-0.0004999999999995596
20215,-0.0003999999999995596
20243,-0.0006999999999995597
20256,-0.00019999999999955963
20257,-0.0006999999999995597
20258,-0.0023999999999995596
20259,4.4037581740929976e-16
20262,-0.0004999999999995596
20263,0.0003000000000004404
20269,-0.0005999999999995597
20273,-0.00019999999999955963
20276,-0.0003999999999995596
20283,-0.0004999999999995596
20285,-0.00159999999999956
20293,-0.0002999999999995596
20294,-0.0005999999999995597
20301,-0.0004999999999995596
20313,-0.0003999999999995596
20325,-0.0009999999999995598
20327,-0.0007999999999995597
20331,-0.00019999999999955963
20341,0.00010000000000044038
20347,-0.0004999999999995596
20349,-0.0002999999999995596
20351,-0.00019999999999955963
20353,-0.0003999999999995596
20355,0.0006000000000004405
20358,-0.0025999999999995593
