star,values
0,-15.0
1,4.0
2,3.0
3,-0.5
4,2.0
5,-12.0
6,1.0
7,-11.5
8,30.5
9,-7.5
10,1.5
11,59.5
12,3.0
13,2.0
14,0.0
15,3.5
16,6.5
17,4.0
19,2.5
20,3.5
21,29.5
22,0.5
23,4.5
24,1.5
25,1.5
26,9.5
27,59.5
28,4.0
29,2.0
30,3.5
31,10.5
32,59.5
33,3.5
34,1.5
35,2.0
36,5.5
37,0.0
38,-15.0
39,-4.0
40,2.0
41,1.0
42,-8.0
43,49.0
44,59.5
45,9.5
46,1.5
47,-6.5
48,1.5
49,-15.0
50,21.0
51,1.0
52,3.0
55,-4.0
56,-15.0
57,59.5
58,6.0
59,0.5
60,3.5
61,21.5
62,12.0
63,-9.5
64,8.0
65,24.0
66,-9.0
67,59.5
68,2.5
69,4.5
70,5.0
71,-15.0
72,-6.0
73,46.0
74,1.5
76,-4.0
77,-7.0
78,42.5
79,3.5
80,59.5
81,-15.0
82,1.5
83,3.0
84,3.5
85,59.5
86,1.5
88,5.5
89,-15.0
90,38.0
91,40.0
92,44.5
94,3.0
95,-15.0
96,10.5
97,-15.0
98,14.5
99,0.5
100,21.0
102,-15.0
103,-15.0
104,59.5
105,-8.5
106,59.5
108,14.0
110,-4.5
112,-12.0
113,10.5
114,-15.0
116,2.5
117,-10.0
118,59.5
119,8.5
120,-15.0
121,-15.0
122,19.0
123,17.5
124,-15.0
125,6.5
126,7.5
127,1.0
128,4.0
129,12.0
130,12.0
131,59.5
132,-15.0
133,0.5
135,6.0
136,-13.0
138,34.0
139,3.5
140,-0.5
141,6.0
143,-15.0
144,-15.0
145,14.0
147,0.0
148,1.0
149,2.5
151,-3.5
152,-9.0
153,0.5
154,59.5
155,2.5
156,-9.5
157,4.0
158,18.0
159,4.5
160,9.0
161,13.5
163,7.0
164,1.0
165,46.5
166,-14.0
168,-9.0
169,15.5
170,-15.0
171,7.5
172,34.5
173,25.0
174,-15.0
175,48.0
177,7.5
178,-6.0
179,14.5
181,-4.0
182,23.5
185,59.5
186,13.0
187,6.5
188,59.5
189,1.0
190,59.5
191,-8.0
193,-5.0
194,-6.0
195,59.5
198,28.5
199,23.0
200,12.5
201,39.0
202,-9.5
203,-15.0
205,3.0
206,10.5
207,-9.0
209,-4.5
210,-9.5
211,7.5
212,-3.5
215,2.0
216,-15.0
217,51.5
219,-9.5
220,5.0
221,4.5
222,6.5
223,0.5
224,48.0
225,20.0
226,0.5
227,6.0
229,32.5
230,43.5
231,0.0
232,-5.0
233,4.0
234,4.0
235,-5.0
236,-12.0
237,39.0
238,3.5
239,54.0
240,21.5
241,3.0
242,5.5
243,-15.0
244,-14.5
245,-15.0
246,5.5
247,0.5
248,-9.0
249,27.5
250,30.0
251,1.0
253,5.0
255,-7.0
258,-11.0
259,5.5
260,18.5
262,32.5
263,5.0
264,-3.5
265,2.0
266,59.5
267,8.0
268,8.5
269,37.0
270,-8.0
271,1.0
272,45.5
273,45.5
274,-9.0
276,8.0
277,15.0
279,0.0
281,4.0
282,-15.0
284,59.5
285,59.5
287,59.5
289,-15.0
290,9.0
294,6.5
296,53.5
297,-15.0
298,-10.5
299,-8.0
300,-3.0
301,59.5
302,-12.0
303,-8.5
305,-7.0
306,-9.0
307,44.0
308,59.5
309,2.0
310,2.0
311,-6.0
312,9.5
313,4.0
314,5.5
315,-5.5
316,-5.5
317,59.5
318,2.0
319,-14.5
321,3.5
323,3.5
324,-5.0
325,9.5
326,-15.0
327,-15.0
328,52.0
329,-13.0
331,4.0
332,6.0
333,24.5
334,-14.0
335,43.5
336,24.0
337,40.0
338,1.0
339,-14.5
340,-7.5
341,1.5
342,4.0
345,-3.0
346,3.5
347,3.0
348,7.5
349,6.0
350,-15.0
351,-8.0
352,8.0
353,7.5
354,-11.0
356,59.5
357,6.5
360,43.5
361,-15.0
362,-6.5
363,16.0
364,8.0
366,59.5
367,17.5
368,5.0
369,1.0
370,2.5
371,-14.5
372,-8.0
373,2.0
374,24.0
375,-9.5
377,3.0
378,24.5
380,-15.0
381,8.0
382,19.5
383,-15.0
384,-15.0
385,40.5
387,-10.5
388,-3.0
389,3.5
390,-15.0
392,-10.0
393,1.5
394,14.5
395,-6.0
396,22.5
399,36.0
400,-15.0
401,-8.5
402,-7.5
403,26.5
404,4.5
405,1.0
409,-15.0
410,4.0
411,7.0
412,-11.0
413,-15.0
414,41.5
415,-7.5
416,-9.0
417,0.5
419,-15.0
420,4.5
421,10.5
422,10.0
423,59.5
425,-15.0
427,10.0
428,-4.5
429,3.0
430,6.0
431,3.0
432,14.5
433,2.0
434,-15.0
435,1.0
436,-11.0
438,1.0
439,4.5
440,5.0
441,12.5
442,-4.0
443,31.5
445,8.0
449,6.0
454,17.5
455,26.5
456,2.5
459,25.0
460,8.5
461,1.0
463,-6.5
464,26.0
465,59.5
466,1.0
467,29.0
468,-15.0
472,3.0
474,2.0
475,59.5
476,3.5
477,2.5
478,0.5
479,1.0
480,2.5
482,54.0
485,19.5
487,-5.0
489,6.5
495,4.5
499,0.5
500,1.5
513,30.5
516,15.0
517,-0.5
518,59.5
519,2.0
523,4.5
524,-15.0
527,-0.5
529,59.5
533,1.0
536,4.0
537,5.5
538,1.5
539,2.0
540,-14.5
541,2.0
542,1.0
543,-9.5
544,9.5
546,4.5
547,-3.5
548,-10.0
550,2.5
553,2.0
555,2.0
556,1.5
557,-4.5
558,2.0
559,-10.0
562,4.0
563,6.0
565,2.0
566,59.5
568,32.0
569,0.5
570,14.0
571,-15.0
572,-12.0
573,2.5
574,0.5
575,2.5
584,0.0
590,4.0
598,-8.0
599,39.5
601,2.5
602,0.5
603,1.0
604,8.0
605,-4.0
606,8.0
608,0.0
609,0.0
610,-3.5
612,1.5
615,2.5
617,-4.0
618,3.0
619,0.5
620,16.0
621,-6.5
623,-15.0
624,3.0
626,4.5
627,-7.5
628,-15.0
629,-15.0
631,4.0
632,6.0
635,12.0
637,0.5
638,1.0
639,-9.5
641,10.0
642,5.5
643,-13.5
644,5.5
645,-14.5
646,-14.5
648,20.5
649,-0.5
650,0.5
653,-4.5
654,-15.0
656,49.5
657,6.0
658,59.5
659,8.0
660,59.5
661,-9.5
662,-10.0
663,4.5
664,59.0
668,2.5
669,-5.5
672,-5.5
673,11.5
674,10.0
675,9.0
678,-15.0
681,-4.0
689,0.5
693,-10.5
696,-6.5
697,-5.5
700,13.0
701,12.5
704,-15.0
705,2.5
707,4.0
708,0.5
709,3.0
710,0.5
711,1.5
718,0.5
724,6.5
725,2.5
727,40.5
729,12.0
730,-13.5
731,3.0
733,22.0
735,5.0
736,59.5
737,9.0
742,-15.0
754,-11.0
755,-15.0
757,-15.0
760,-15.0
762,6.5
763,6.5
766,-4.0
767,16.5
770,0.5
771,3.0
772,5.5
773,12.5
774,7.0
780,2.0
782,7.5
786,59.5
787,9.0
788,59.5
789,2.0
790,2.0
793,-6.0
795,-15.0
799,3.5
803,9.5
804,-7.0
805,5.5
806,2.0
807,59.5
808,3.0
809,4.0
810,-10.0
811,3.5
813,3.0
815,-9.5
816,59.5
817,0.5
819,5.5
820,1.5
821,0.5
822,2.0
823,59.5
830,2.0
831,27.5
832,5.0
833,4.0
835,59.5
838,59.5
840,-15.0
842,5.0
844,-15.0
846,59.5
849,6.0
853,3.0
854,-15.0
856,2.0
859,0.5
860,1.0
861,59.5
862,-15.0
863,-15.0
864,-15.0
865,0.5
866,10.0
869,6.0
872,0.5
873,59.5
874,-15.0
876,-10.0
877,-15.0
883,1.5
884,-12.0
886,0.5
889,3.5
891,-10.5
893,2.5
895,9.5
896,59.5
897,22.5
899,-15.0
901,4.5
902,54.0
904,59.5
905,0.5
907,-5.0
909,35.0
914,1.5
916,5.5
917,18.5
918,-5.5
920,-9.0
923,11.0
924,59.5
925,45.5
926,2.0
927,-8.0
928,59.5
929,-6.0
931,2.5
932,5.0
933,-11.0
936,1.0
937,2.0
938,19.5
939,26.0
940,0.0
944,19.5
945,22.0
946,-15.0
947,9.0
948,59.5
949,59.5
951,0.5
952,16.0
957,9.5
958,6.5
960,10.5
961,-15.0
963,8.0
964,-14.5
967,5.0
970,9.0
971,-7.5
972,-14.0
973,3.5
974,6.5
975,14.5
977,-4.0
978,59.5
979,4.5
982,-13.0
983,-0.5
985,-7.0
987,-4.0
989,5.5
991,-7.0
994,0.5
995,13.5
996,18.0
997,-3.0
999,43.0
1000,16.5
1002,35.0
1003,2.0
1004,26.5
1005,59.5
1006,-5.0
1007,-14.5
1008,1.0
1009,3.0
1010,1.0
1011,10.0
1012,4.5
1013,7.5
1014,4.0
1015,5.5
1018,1.5
1019,2.5
1021,29.5
1023,17.5
1024,4.5
1026,59.5
1030,3.5
1031,-14.5
1032,59.5
1035,-9.0
1036,8.5
1037,14.5
1038,22.5
1039,6.5
1043,29.5
1044,1.0
1045,4.0
1046,2.0
1048,-15.0
1049,45.0
1050,1.0
1051,-11.0
1052,6.0
1053,-15.0
1054,14.5
1055,1.5
1056,-5.0
1057,-11.0
1058,17.5
1059,40.0
1060,11.0
1061,13.0
1062,59.5
1063,-6.5
1064,-4.0
1065,59.5
1067,13.0
1068,-4.0
1069,59.5
1070,8.0
1071,4.5
1072,-9.5
1074,19.0
1075,16.5
1076,-15.0
1077,-14.0
1078,11.0
1079,34.0
1084,-7.5
1088,2.0
1090,-15.0
1093,7.5
1095,53.5
1096,-9.0
1097,-6.5
1101,35.0
1102,-15.0
1103,0.5
1105,20.5
1106,-3.5
1107,59.5
1108,1.0
1109,0.0
1110,39.0
1111,7.0
1112,15.5
1113,59.5
1114,-0.5
1115,-4.5
1116,-15.0
1117,0.5
1118,-15.0
1119,42.5
1120,-15.0
1121,-9.5
1122,-15.0
1123,13.0
1124,-10.5
1125,20.0
1126,17.5
1127,-9.0
1131,-15.0
1133,59.5
1134,59.5
1137,59.5
1141,7.5
1142,-5.5
1143,-10.0
1144,59.5
1147,3.0
1148,6.0
1152,59.5
1153,12.5
1155,2.5
1157,6.0
1158,-10.0
1160,0.0
1162,44.0
1163,59.5
1164,59.5
1165,59.5
1166,-15.0
1167,3.5
1168,-9.5
1170,5.0
1171,2.0
1172,4.5
1174,1.0
1175,29.5
1176,-10.5
1177,8.0
1178,-10.5
1180,-15.0
1181,-15.0
1183,-10.0
1184,-5.5
1185,20.0
1187,1.0
1195,14.0
1199,-6.0
1200,1.0
1208,35.5
1210,-10.0
1212,7.0
1213,1.5
1214,3.0
1215,-8.0
1216,4.0
1217,59.5
1218,-13.5
1219,6.5
1221,-15.0
1222,29.5
1224,40.5
1227,-15.0
1228,5.0
1234,-7.5
1235,21.0
1238,17.5
1242,23.5
1243,10.0
1244,37.0
1246,59.5
1248,-6.0
1249,-15.0
1250,-9.0
1251,42.5
1252,2.0
1253,59.5
1255,0.5
1256,-12.0
1257,8.5
1258,59.5
1259,5.5
1262,14.0
1263,-15.0
1264,14.0
1265,-13.5
1278,-8.0
1280,-12.5
1281,2.0
1285,0.5
1286,1.5
1287,43.0
1289,59.5
1290,3.5
1292,0.5
1293,3.0
1295,8.5
1296,-12.5
1297,0.0
1298,3.0
1299,41.5
1300,5.0
1301,27.0
1302,-10.5
1303,-15.0
1305,23.5
1306,17.5
1307,1.5
1308,2.5
1310,12.0
1311,1.0
1312,-15.0
1314,-15.0
1315,-9.5
1316,29.0
1317,-15.0
1318,7.5
1320,1.5
1321,-15.0
1322,-8.5
1323,7.0
1324,-8.5
1326,59.5
1327,-8.5
1328,31.5
1329,8.0
1330,34.5
1331,4.5
1332,8.5
1333,-10.5
1334,3.5
1335,-15.0
1336,2.5
1337,-14.0
1338,-12.0
1339,9.0
1341,15.0
1342,3.0
1343,7.0
1344,9.0
1347,-15.0
1348,35.5
1352,-8.0
1353,59.5
1354,1.0
1355,-3.5
1356,-9.5
1357,-8.0
1360,0.0
1361,1.5
1363,3.0
1364,59.5
1365,0.5
1366,31.0
1367,7.5
1368,4.0
1369,4.5
1371,59.5
1372,5.5
1373,53.5
1374,2.5
1375,35.5
1376,1.5
1377,-15.0
1378,26.0
1379,-3.5
1381,57.5
1382,-6.0
1383,30.5
1384,-7.5
1386,19.5
1387,7.5
1388,59.5
1389,54.0
1390,17.5
1391,3.5
1392,46.5
1393,1.0
1395,-15.0
1396,59.5
1397,5.5
1398,-15.0
1400,-15.0
1401,-9.0
1402,59.5
1403,28.5
1404,3.0
1405,3.0
1408,59.5
1410,-6.0
1411,-15.0
1412,-10.0
1414,-6.5
1416,2.0
1419,0.5
1421,-5.0
1422,-2.5
1424,-14.5
1426,-8.5
1429,2.0
1431,7.0
1432,-3.0
1433,2.0
1434,8.5
1435,8.5
1436,2.5
1437,-15.0
1438,4.0
1441,11.0
1442,13.0
1443,8.5
1444,-9.0
1445,1.0
1446,-14.0
1447,-5.5
1450,4.0
1452,2.5
1453,41.0
1454,0.5
1456,-15.0
1458,59.5
1459,20.0
1460,59.5
1463,3.5
1464,-4.0
1465,4.5
1468,59.5
1469,-5.0
1470,34.5
1471,-6.0
1473,2.5
1476,15.0
1477,-15.0
1478,-15.0
1479,-15.0
1481,2.0
1482,0.0
1483,11.0
1487,2.0
1488,-14.5
1490,-15.0
1491,12.0
1495,5.0
1498,13.5
1501,1.5
1502,-15.0
1503,6.5
1505,1.5
1506,5.5
1507,1.0
1508,-10.5
1509,-6.5
1510,-5.5
1513,-3.0
1514,-7.0
1517,0.5
1519,-11.5
1520,17.5
1521,-6.0
1522,15.5
1523,23.0
1524,59.5
1525,-15.0
1526,59.5
1527,18.5
1529,-4.0
1530,-10.5
1532,59.5
1533,1.0
1535,-11.0
1537,1.5
1540,-10.0
1541,27.0
1542,3.5
1543,54.5
1544,7.5
1545,37.5
1546,20.0
1547,-10.5
1548,-15.0
1549,2.5
1551,6.0
1552,-7.5
1554,-7.0
1557,-6.0
1558,59.5
1559,59.5
1560,59.5
1561,9.5
1562,59.5
1563,2.5
1564,1.0
1565,59.5
1567,13.0
1568,0.5
1569,17.5
1571,1.0
1574,2.0
1576,-5.5
1577,26.5
1578,3.0
1579,11.0
1580,41.5
1583,-12.0
1584,43.0
1587,14.0
1589,42.0
1592,15.0
1594,-5.5
1595,-13.5
1596,-4.5
1599,-7.0
1601,2.5
1602,-11.0
1604,59.5
1605,19.0
1606,19.0
1608,-5.5
1609,-4.0
1610,3.0
1611,59.5
1612,27.5
1615,-4.5
1616,0.0
1617,11.0
1618,-7.0
1619,-13.0
1620,8.0
1621,-11.5
1622,-4.5
1623,15.5
1624,-15.0
1625,-15.0
1630,3.5
1632,42.0
1633,-13.5
1635,59.5
1636,-15.0
1637,12.0
1638,59.5
1639,4.0
1640,-12.5
1641,1.5
1642,-15.0
1643,5.5
1644,6.0
1645,-4.5
1646,0.0
1647,0.0
1649,7.0
1650,7.0
1651,3.0
1652,3.0
1654,28.0
1656,6.0
1657,5.0
1658,30.0
1659,19.5
1660,59.5
1661,59.5
1663,4.0
1664,-15.0
1665,-4.5
1666,-8.5
1667,59.5
1668,12.0
1669,10.5
1670,6.0
1671,0.0
1672,15.0
1673,1.5
1674,7.5
1675,9.0
1676,5.0
1677,-10.5
1678,7.0
1679,59.5
1680,3.5
1681,-9.0
1682,-9.5
1683,7.0
1684,59.5
1685,4.5
1686,2.5
1687,2.5
1688,59.5
1689,-11.5
1690,4.5
1691,3.5
1692,1.5
1693,11.5
1694,5.5
1695,59.5
1696,10.0
1697,-13.5
1698,1.5
1699,59.5
