star,values
19971,59.5
20027,24.5
20232,12.0
20279,9.5
20339,13.0
20352,9.5
20369,9.5
20379,9.0
20403,13.5
20443,7.5
20799,19.5
20811,26.5
20890,13.5
20903,12.0
20968,10.0
21011,8.0
21304,16.5
21544,13.0
21549,14.0
21555,9.5
21565,11.0
21566,12.0
21570,10.0
21572,12.5
21589,10.5
21649,20.5
21676,21.0
21685,9.0
21690,11.0
21733,12.5
21859,14.0
21864,11.0
21907,13.5
21930,13.0
21945,16.5
22576,10.0
22592,17.0
22768,59.5
22779,12.0
22781,12.0
22837,13.0
23248,21.0
23425,11.5
23434,14.5
23439,17.5
23595,10.0
23597,14.5
23654,16.0
23677,8.5
23797,11.5
23807,22.0
23918,11.0
23932,21.5
23945,31.5
23965,38.5
23974,22.0
24007,28.5
24067,19.5
24092,32.0
24395,15.0
24461,12.0
24483,49.5
24510,17.5
24545,19.5
24568,37.5
24627,13.0
24764,25.5
24820,15.0
24824,33.5
24926,19.0
24935,15.0
24953,15.5
21031,3.0
21813,8.0
22159,11.0
23627,8.5
19798,3.5
19842,13.5
19846,15.5
19943,13.0
20103,18.0
20268,4.0
20290,8.0
20291,8.5
20310,9.0
20312,13.0
20320,10.5
20330,6.5
20502,3.5
21069,10.5
21174,14.5
21188,10.5
21255,13.0
21264,14.0
21303,12.0
21305,13.5
21308,13.0
21323,17.0
21338,9.0
21350,14.5
21466,13.0
21474,9.5
21489,11.0
21508,8.5
21523,10.0
21588,10.5
21600,9.0
21677,7.0
21719,11.0
21729,8.0
21821,11.0
21858,9.0
21878,9.5
21879,13.5
22009,12.0
22019,14.5
22020,9.0
22054,12.0
22099,13.5
22117,12.5
22199,-10.5
22549,11.5
22561,16.5
22569,14.0
22579,12.5
22601,15.5
22602,10.5
22603,14.0
22847,11.5
22855,13.0
22935,20.0
22947,9.0
22982,8.5
23261,13.5
23279,16.0
23312,16.0
23529,13.5
23566,10.5
23596,10.0
23663,23.5
23693,13.0
23953,11.0
24035,10.5
24045,14.5
24051,16.5
24100,10.5
24122,18.0
24233,11.0
24339,13.0
24696,14.0
24740,16.5
24742,10.0
24744,16.5
24896,13.5
24898,18.0
20390,-15.0
20867,18.5
24013,3.0
20492,-0.5
20558,6.5
20083,4.5
