star,values
19971,21.5
20027,59.5
20232,13.0
20279,16.0
20339,28.0
20352,13.0
20369,20.0
20379,19.0
20403,14.0
20443,17.5
20799,59.5
20811,59.5
20890,23.5
20903,24.5
20968,17.0
21011,9.0
21304,36.0
21544,24.0
21549,16.0
21555,18.5
21565,29.5
21566,26.5
21570,22.0
21572,16.5
21589,59.5
21649,34.0
21676,59.5
21685,30.0
21690,21.5
21733,22.5
21859,28.5
21864,17.5
21907,42.0
21930,22.0
21945,37.0
22576,29.5
22592,36.0
22768,56.5
22779,17.0
22781,33.0
22837,26.0
23248,59.5
23425,24.0
23434,59.5
23439,59.5
23595,19.0
23597,59.5
23654,44.5
23677,7.0
23797,16.5
23807,15.5
23918,11.5
23932,58.5
23945,59.5
23965,59.5
23974,23.5
24007,59.5
24067,43.5
24092,59.5
24395,24.0
24461,26.5
24483,59.5
24510,44.0
24545,32.5
24568,59.5
24627,22.5
24764,35.0
24820,26.5
24824,59.5
24926,59.5
24935,19.0
24953,59.0
21031,3.0
21813,13.5
22159,37.0
23627,24.0
19798,4.5
19842,27.0
19846,24.5
19943,23.5
20103,24.0
20268,6.0
20290,14.0
20291,11.5
20310,12.5
20312,27.5
20320,22.5
20330,11.5
20502,2.0
21069,18.0
21174,19.0
21188,27.5
21255,17.5
21264,32.5
21303,19.0
21305,43.0
21308,34.0
21323,57.5
21338,18.0
21350,59.0
21466,21.0
21474,17.0
21489,22.0
21508,18.0
21523,15.0
21588,21.0
21600,18.5
21677,19.0
21719,12.0
21729,13.0
21821,19.0
21858,16.5
21878,21.0
21879,22.5
22009,23.5
22019,29.5
22020,16.0
22054,21.5
22099,32.5
22117,14.0
22199,-9.0
22549,23.5
22561,21.0
22569,37.0
22579,32.5
22601,17.5
22602,22.5
22603,15.0
22847,26.0
22855,23.0
22935,59.5
22947,17.0
22982,23.0
23261,35.5
23279,29.0
23312,26.0
23529,22.0
23566,14.0
23596,23.5
23663,39.5
23693,25.5
23953,19.0
24035,17.0
24045,59.5
24051,49.0
24100,23.0
24122,37.0
24233,23.5
24339,26.0
24696,27.5
24740,22.0
24742,15.0
24744,26.0
24896,13.0
24898,39.5
20390,-15.0
20867,42.5
24013,5.0
20492,-0.5
20558,8.0
20083,8.5
