star,values
19971,0
20027,0
20232,0
20279,0
20339,0
20352,0
20369,0
20379,0
20403,0
20443,0
20799,0
20811,0
20890,0
20903,0
20968,0
21011,0
21304,0
21544,0
21549,0
21555,0
21565,0
21566,0
21570,0
21572,0
21589,0
21649,0
21676,0
21685,0
21690,0
21733,0
21859,0
21864,0
21907,0
21930,0
21945,0
22576,0
22592,0
22768,0
22779,0
22781,0
22837,0
23248,0
23425,0
23434,0
23439,0
23595,0
23597,0
23654,0
23677,0
23797,0
23807,0
23918,0
23932,0
23945,0
23965,0
23974,0
24007,0
24067,0
24092,0
24395,0
24461,0
24483,0
24510,0
24545,0
24568,0
24627,0
24764,0
24820,0
24824,0
24926,0
24935,0
24953,0
21031,0
21813,0
22159,0
23627,0
19798,0
19842,0
19846,0
19943,0
20103,0
20268,0
20290,0
20291,0
20310,0
20312,0
20320,0
20330,0
20502,0
21069,0
21174,0
21188,0
21255,0
21264,0
21303,0
21305,0
21308,0
21323,0
21338,0
21350,0
21466,0
21474,0
21489,0
21508,0
21523,0
21588,0
21600,0
21677,0
21719,0
21729,0
21821,0
21858,0
21878,0
21879,0
22009,0
22019,0
22020,0
22054,0
22099,0
22117,0
22199,0
22549,0
22561,0
22569,0
22579,0
22601,0
22602,0
22603,0
22847,0
22855,0
22935,0
22947,0
22982,0
23261,0
23279,0
23312,0
23529,0
23566,0
23596,0
23663,0
23693,0
23953,0
24035,0
24045,0
24051,0
24100,0
24122,0
24233,0
24339,0
24696,0
24740,0
24742,0
24744,0
24896,0
24898,0
20390,0
20867,0
24013,0
20492,0
20558,0
20083,0
