star,"C,S,Score Values"
19971,0.5
20027,1.0
20232,0.0
20279,0.0
20339,0.0
20352,0.0
20369,0.0
20379,0.0
20403,0.0
20443,0.0
20799,0.5
20811,1.5
20890,0.5
20903,0.0
20968,0.0
21011,0.0
21304,0.5
21544,0.0
21549,0.0
21555,0.0
21565,0.0
21566,0.5
21570,0.0
21572,0.0
21589,0.0
21649,0.5
21676,1.0
21685,0.0
21690,0.0
21733,0.0
21859,0.5
21864,0.0
21907,0.0
21930,0.5
21945,0.5
22576,0.0
22592,0.5
22768,1.0
22779,0.0
22781,0.0
22837,0.5
23248,4.0
23425,0.0
23434,0.5
23439,1.0
23595,0.0
23597,1.0
23654,0.5
23677,-0.5
23797,0.5
23807,0.5
23918,0.0
23932,1.0
23945,2.5
23965,2.5
23974,0.5
24007,1.0
24067,0.5
24092,1.0
24395,0.5
24461,0.0
24483,5.0
24510,1.0
24545,0.5
24568,16.5
24627,-0.5
24764,1.0
24820,0.5
24824,3.0
24926,1.0
24935,0.0
24953,0.5
21031,-0.5
21813,0.0
22159,0.5
23627,0.0
19798,-0.5
19842,0.0
19846,0.0
19943,0.0
20103,0.5
20268,-0.5
20290,0.0
20291,0.0
20310,0.0
20312,0.5
20320,0.0
20330,-0.5
20502,-0.5
21069,0.0
21174,0.5
21188,0.0
21255,0.5
21264,0.5
21303,0.0
21305,0.5
21308,0.5
21323,0.5
21338,0.0
21350,0.5
21466,0.0
21474,0.0
21489,0.0
21508,0.0
21523,0.0
21588,0.0
21600,0.5
21677,0.0
21719,0.5
21729,0.0
21821,0.0
21858,0.0
21878,0.0
21879,0.0
22009,0.0
22019,0.0
22020,0.0
22054,0.0
22099,0.5
22117,0.5
22199,-3.5
22549,0.0
22561,0.5
22569,0.0
22579,0.0
22601,0.0
22602,0.0
22603,0.0
22847,0.0
22855,0.0
22935,1.5
22947,0.0
22982,0.0
23261,0.0
23279,0.5
23312,0.5
23529,0.0
23566,0.0
23596,0.0
23663,1.0
23693,0.0
23953,0.0
24035,0.0
24045,0.5
24051,1.0
24100,0.0
24122,0.5
24233,0.0
24339,0.0
24696,0.0
24740,0.5
24742,0.0
24744,0.5
24896,0.5
24898,0.5
20390,-4.5
20867,1.5
24013,-0.5
20492,-0.5
20558,-0.5
20083,-0.5
