star,values
19971,-0.0004577205187473672
20027,-0.00021579614696479058
20232,-0.0003308231167309167
20279,0.00031190798929526945
20339,-0.00022590350162141623
20352,1.484669325493466e-05
20369,-0.0004168251518951471
20379,-0.0001356021160325577
20403,-0.00022315330091200614
20443,0.00010534752495563947
20799,-2.5038176117370457e-05
20811,-0.0002859830162321287
20890,-0.00035605892891101617
20903,-0.0001317474319969133
20968,-0.00029671155078447344
21011,-0.0008421010144256205
21304,-0.00022892745603025314
21544,-0.00011833092485223164
21549,-5.202717187267956e-05
21555,-0.00032938782972077125
21565,-4.999338645510291e-05
21566,-0.00011954010286740613
21570,-0.00027704620653170133
21572,-0.00040186093873774377
21589,-0.00028947256975323665
21649,-0.00022642222851689139
21676,-0.00012694013955248825
21685,-0.00023382009045350887
21690,-0.0002496011338533515
21733,-0.000289640326285929
21859,-0.00023669892761006117
21864,-0.00023443396106916317
21907,-0.00011301715776787162
21930,-0.0003122800018585024
21945,-0.0001570433069779034
22576,-0.00026458660960659624
22592,-0.0001986184483321268
22768,-0.0006032069872489325
22779,-0.00013194773304002225
22781,-0.0002777412346477507
22837,-5.6972360832581245e-05
23248,-0.00038444572179913866
23425,-0.0003437845844628012
23434,-3.536149948036976e-05
23439,-4.255011556824011e-05
23595,-0.0002596766307959266
23597,-0.00014521371893773665
23654,-0.00018837196008651772
23677,-0.000815050830982451
23797,-0.00028973738407434013
23807,-0.00023840759228574592
23918,-0.0001464325244449424
23932,-0.0001691025665447798
23945,-0.00029497860461353436
23965,-0.0003956590520210284
23974,-0.00035245442770905604
24007,-0.0001870740136151392
24067,-0.00023282427470281775
24092,-0.00012810813161160815
24395,-0.00015260039071794484
24461,-0.00025681644947311475
24483,-0.00031058272212246106
24510,-7.366654662278325e-05
24545,-0.0002561578448276719
24568,-0.00042858576332996764
24627,-0.0001620158695550095
24764,-0.0001583036400711084
24820,-0.0003692302546931632
24824,-0.00047989971847383874
24926,0.00019339867201661695
24935,-7.665408549186476e-05
24953,-5.879845068438583e-05
21031,0.0007082120013208467
21813,-2.160378359374355e-05
22159,-4.77139238831406e-05
23627,-2.0070063910015412e-05
19798,0.0007423508316359172
19842,-0.00026967454932093647
19846,-0.00025445065079186075
19943,-0.00033863132897088595
20103,-0.0003381561188842394
20268,-0.0001309848661315159
20290,-0.00010289603976844925
20291,-7.902925611572069e-06
20310,-1.9950831291772584e-05
20312,-5.4231507916091066e-05
20320,-0.00017870408618829146
20330,0.00021434528691348446
20502,0.0012013975017026906
21069,-0.00022316123565063061
21174,-0.0002094323421720924
21188,7.499064845269837e-06
21255,-0.00022905248994159566
21264,-0.00013513687277197503
21303,-0.0003236775402433639
21305,-0.0001461105883255007
21308,-0.00017306707844328805
21323,-0.00010381787535108277
21338,-0.0002186187995095733
21350,-0.0005440283116283688
21466,-8.317673463367439e-05
21474,1.2803730125722447e-05
21489,-0.00018583556576580364
21508,-8.128185228650428e-05
21523,9.803533959141432e-05
21588,-0.00015200989204529266
21600,-0.0002966788123842082
21677,-0.00025621384725830804
21719,-0.0006358702986879808
21729,-0.00010904730108583967
21821,-7.746016149361048e-05
21858,8.488945971521782e-06
21878,-0.00031770734267432053
21879,-0.0002277111431657743
22009,-6.274278185901673e-05
22019,-0.00019900172546693352
22020,-0.00038496567867044485
22054,-0.00032329252237139157
22099,-0.00012565814386589875
22117,-0.00038444668309899717
22199,-0.0003680887531444439
22549,-0.00020430311701967973
22561,-0.0003273007091639164
22569,-0.00017136229535687984
22579,-0.00022486126670523738
22601,-0.0003338175373501789
22602,-6.27782063715877e-05
22603,-0.00015299198748375755
22847,-0.00020223641503740462
22855,-0.000278231040060094
22935,-4.1915116775263756e-05
22947,-0.00018196831069854165
22982,2.3229702997290877e-05
23261,-0.00023485487383463985
23279,-0.00020729267401182436
23312,-6.765603000110714e-05
23529,-0.0002941639400037256
23566,-0.0003160926563375052
23596,-0.00022988253090276364
23663,-0.00019808594105275972
23693,-0.00017005109669175592
23953,-0.0003379286965449939
24035,-0.00021871005136019992
24045,-5.2147613323603155e-05
24051,2.2261861573380662e-05
24100,-0.0002210102714177455
24122,-0.0002674303860605047
24233,-0.000133107440008786
24339,-0.00019924102074960794
24696,-0.0002703284977357878
24740,-0.0002523053118377163
24742,-0.00028018533327641316
24744,-0.00024047777062521784
24896,-0.0004313662658130463
24898,-0.0002640210547431024
20390,-0.00016750484793413983
20867,-0.0005428521470207657
24013,0.00017063337281320192
20492,0.0016470664813919888
20558,-0.00015685564569949345
20083,-0.0003383861097044974
